scenario_id,step,F_lateral_kN,M_base_kNm,N_cycles,freq_Hz
2,8,607.39,3495.8,2196,0.195
2,9,650.64,3744.8,2470,0.195
2,10,680.18,3914.8,2744,0.195
2,11,824.24,4744.0,3019,0.195
2,12,859.06,4944.3,3293,0.195
2,13,897.74,5167.0,3568,0.195
2,14,1052.26,6056.3,3842,0.195
2,15,1146.94,6601.3,4117,0.195
2,16,1154.99,6647.6,4391,0.195
2,17,1293.26,7443.4,4666,0.195
2,18,1303.49,7502.3,4940,0.195
2,19,1361.6,7836.8,5215,0.195
2,20,1426.37,8209.5,5489,0.195
2,21,1566.66,9017.0,5763,0.195
2,22,1566.41,9015.5,6038,0.195
2,23,1684.13,9693.1,6312,0.195
2,24,1717.56,9885.5,6587,0.195
2,25,1792.79,10318.5,6861,0.195
2,26,1909.77,10991.8,7136,0.195
2,27,1939.73,11164.2,7410,0.195
2,28,2011.25,11575.8,7685,0.195
2,29,2129.64,12257.3,7959,0.195
3,0,47.92,357.8,0,0.184
3,1,81.39,607.7,162,0.184
3,2,104.46,780.0,324,0.184
3,3,170.84,1275.6,486,0.184
3,4,250.6,1871.2,649,0.184
3,5,319.89,2388.5,811,0.184
3,6,342.67,2558.7,973,0.184
3,7,456.05,3405.3,1135,0.184
3,8,498.98,3725.8,1297,0.184
3,9,506.99,3785.6,1459,0.184
3,10,592.65,4425.2,1621,0.184
3,11,667.44,4983.7,1784,0.184
3,12,742.43,5543.7,1946,0.184
3,13,863.35,6446.5,2108,0.184
3,14,875.87,6540.0,2270,0.184
3,15,905.55,6761.6,2432,0.184
3,16,999.44,7462.7,2594,0.184
3,17,1044.31,7797.8,2756,0.184
3,18,1126.67,8412.7,2918,0.184
3,19,1196.39,8933.3,3081,0.184
3,20,1277.31,9537.5,3243,0.184
3,21,1302.35,9724.5,3405,0.184
3,22,1414.3,10560.4,3567,0.184
3,23,1454.42,10860.0,3729,0.184
3,24,1468.01,10961.5,3891,0.184
3,25,1617.58,12078.3,4053,0.184
3,26,1623.15,12119.9,4216,0.184
3,27,1650.34,12322.9,4378,0.184
3,28,1787.03,13343.5,4540,0.184
3,29,1861.83,13902.0,4702,0.184
4,0,0.0,0.0,0,0.279
4,1,51.35,613.8,187,0.279
4,2,127.76,1527.1,374,0.279
4,3,220.83,2639.6,561,0.279
4,4,304.19,3636.0,748,0.279
4,5,349.43,4176.8,935,0.279
4,6,401.83,4803.2,1122,0.279
4,7,510.18,6098.3,1309,0.279
4,8,522.32,6243.4,1496,0.279
4,9,629.1,7519.7,1683,0.279
4,10,655.99,7841.2,1869,0.279
4,11,744.03,8893.5,2056,0.279
4,12,794.15,9492.7,2243,0.279
4,13,862.35,10307.8,2430,0.279
4,14,919.17,10987.0,2617,0.279
4,15,1037.3,12399.0,2804,0.279
4,16,1041.43,12448.4,2991,0.279
4,17,1107.67,13240.2,3178,0.279
4,18,1259.97,15060.7,3365,0.279
4,19,1292.14,15445.2,3552,0.279
4,20,1257.71,15033.7,3739,0.279
4,21,1378.77,16480.7,3926,0.279
4,22,1407.84,16828.1,4113,0.279
4,23,1500.14,17931.4,4300,0.279
4,24,1500.97,17941.3,4487,0.279
4,25,1657.48,19812.1,4674,0.279
4,26,1693.79,20246.2,4861,0.279
4,27,1796.31,21471.6,5048,0.279
4,28,1812.22,21661.8,5235,0.279
4,29,1929.93,23068.8,5421,0.279
5,0,0.0,0.0,0,0.286
5,1,189.6,1724.3,343,0.286
5,2,331.43,3014.2,686,0.286
5,3,457.19,4157.9,1030,0.286
5,4,568.38,5169.1,1373,0.286
5,5,782.28,7114.4,1716,0.286
5,6,820.67,7463.6,2059,0.286
5,7,969.7,8818.9,2402,0.286
5,8,1153.84,10493.6,2745,0.286
5,9,1368.52,12445.9,3089,0.286
5,10,1439.37,13090.3,3432,0.286
5,11,1584.49,14410.1,3775,0.286
5,12,1691.27,15381.2,4118,0.286
5,13,1907.45,17347.3,4461,0.286
5,14,2052.21,18663.8,4804,0.286
5,15,2191.83,19933.6,5148,0.286
5,16,2293.83,20861.1,5491,0.286
5,17,2436.04,22154.6,5834,0.286
5,18,2563.0,23309.1,6177,0.286
5,19,2748.85,24999.4,6520,0.286
5,20,2858.47,25996.3,6864,0.286
5,21,3000.1,27284.3,7207,0.286
5,22,3167.25,28804.5,7550,0.286
5,23,3309.83,30101.2,7893,0.286
5,24,3452.91,31402.5,8236,0.286
5,25,3627.59,32991.0,8579,0.286
5,26,3760.51,34199.9,8923,0.286
5,27,3894.04,35414.3,9266,0.286
5,28,4052.72,36857.4,9609,0.286
5,29,4162.03,37851.5,9952,0.286
6,0,3.16,43.5,0,0.113
6,1,116.67,1605.8,140,0.113
6,2,179.22,2466.6,279,0.113
6,3,366.34,5041.9,419,0.113
6,4,422.18,5810.5,559,0.113
6,5,563.49,7755.3,698,0.113
6,6,707.86,9742.4,838,0.113
6,7,812.86,11187.5,978,0.113
6,8,898.27,12363.1,1118,0.113
6,9,998.52,13742.8,1257,0.113
6,10,1149.98,15827.3,1397,0.113
6,11,1253.95,17258.3,1537,0.113
6,12,1327.31,18268.0,1676,0.113
6,13,1434.17,19738.7,1816,0.113
6,14,1508.0,20754.9,1956,0.113
6,15,1686.95,23217.8,2095,0.113
6,16,1792.01,24663.6,2235,0.113
6,17,1940.73,26710.5,2375,0.113
6,18,2029.57,27933.2,2515,0.113
6,19,2170.98,29879.5,2654,0.113
6,20,2222.19,30584.3,2794,0.113
6,21,2389.41,32885.8,2934,0.113
6,22,2451.55,33741.0,3073,0.113
6,23,2602.9,35824.1,3213,0.113
6,24,2647.97,36444.3,3353,0.113
6,25,2810.94,38687.3,3492,0.113
6,26,2856.5,39314.4,3632,0.113
6,27,3020.18,41567.2,3772,0.113
6,28,3153.56,43402.9,3911,0.113
6,29,3236.88,44549.6,4051,0.113
7,0,0.0,0.0,0,0.155
7,1,60.66,484.1,214,0.155
7,2,67.45,538.3,427,0.155
7,3,91.15,727.4,641,0.155
7,4,142.37,1136.1,854,0.155
7,5,255.49,2038.8,1068,0.155
7,6,246.28,1965.2,1281,0.155
7,7,281.83,2248.9,1495,0.155
7,8,295.3,2356.4,1708,0.155
7,9,322.5,2573.5,1922,0.155
7,10,280.9,2241.6,2135,0.155
7,11,367.7,2934.1,2349,0.155
7,12,408.93,3263.2,2562,0.155
7,13,402.38,3210.9,2776,0.155
7,14,459.18,3664.2,2989,0.155
7,15,469.76,3748.6,3203,0.155
7,16,563.31,4495.1,3417,0.155
7,17,624.3,4981.8,3630,0.155
7,18,668.22,5332.3,3844,0.155
7,19,682.74,5448.1,4057,0.155
7,20,676.67,5399.7,4271,0.155
7,21,682.89,5449.3,4484,0.155
7,22,723.43,5772.8,4698,0.155
7,23,773.34,6171.1,4911,0.155
7,24,820.02,6543.6,5125,0.155
7,25,877.18,6999.7,5338,0.155
7,26,886.82,7076.7,5552,0.155
7,27,962.69,7682.1,5765,0.155
7,28,980.84,7826.9,5979,0.155
7,29,1023.4,8166.5,6192,0.155
8,0,34.21,175.1,0,0.169
8,1,58.29,298.4,128,0.169
8,2,199.96,1023.5,256,0.169
8,3,280.68,1436.7,384,0.169
8,4,364.79,1867.3,513,0.169
8,5,495.06,2534.1,641,0.169
8,6,588.57,3012.7,769,0.169
8,7,627.5,3212.0,897,0.169
8,8,744.13,3809.0,1025,0.169
8,9,851.73,4359.8,1153,0.169
8,10,928.81,4754.3,1281,0.169
8,11,1048.25,5365.7,1409,0.169
8,12,1132.83,5798.6,1538,0.169
8,13,1273.07,6516.5,1666,0.169
8,14,1265.89,6479.7,1794,0.169
8,15,1401.82,7175.5,1922,0.169
8,16,1471.94,7534.4,2050,0.169
8,17,1611.02,8246.3,2178,0.169
8,18,1638.08,8384.9,2306,0.169
8,19,1790.68,9166.0,2435,0.169
8,20,1855.09,9495.7,2563,0.169
8,21,1945.67,9959.3,2691,0.169
8,22,2018.0,10329.6,2819,0.169
8,23,2141.14,10959.9,2947,0.169
8,24,2281.33,11677.5,3075,0.169
8,25,2341.74,11986.7,3203,0.169
8,26,2455.02,12566.6,3332,0.169
8,27,2579.83,13205.4,3460,0.169
8,28,2631.5,13469.9,3588,0.169
8,29,2700.53,13823.2,3716,0.169
9,0,14.02,112.2,0,0.237
9,1,74.41,595.8,138,0.237
9,2,166.35,1331.9,275,0.237
9,3,226.63,1814.5,413,0.237
9,4,390.76,3128.6,550,0.237
9,5,442.13,3540.0,688,0.237
9,6,549.92,4403.0,825,0.237
9,7,604.12,4836.9,963,0.237
9,8,739.02,5917.0,1100,0.237
9,9,793.83,6355.8,1238,0.237
9,10,903.18,7231.3,1375,0.237
9,11,1024.51,8202.8,1513,0.237
9,12,1112.64,8908.4,1650,0.237
9,13,1178.99,9439.7,1788,0.237
9,14,1217.35,9746.8,1926,0.237
9,15,1450.93,11616.9,2063,0.237
9,16,1504.26,12043.9,2201,0.237
9,17,1564.31,12524.7,2338,0.237
9,18,1610.77,12896.7,2476,0.237
9,19,1720.7,13776.9,2613,0.237
9,20,1798.55,14400.2,2751,0.237
9,21,1943.51,15560.8,2888,0.237
9,22,2004.22,16046.9,3026,0.237
9,23,2063.56,16522.0,3163,0.237
9,24,2163.7,17323.8,3301,0.237
9,25,2302.2,18432.7,3438,0.237
9,26,2407.31,19274.3,3576,0.237
9,27,2495.9,19983.6,3714,0.237
9,28,2563.51,20524.9,3851,0.237
9,29,2623.96,21008.9,3989,0.237
10,0,0.0,0.0,0,0.136
10,1,59.11,637.3,241,0.136
10,2,100.34,1081.8,482,0.136
10,3,154.8,1668.8,723,0.136
10,4,202.41,2182.2,964,0.136
10,5,211.21,2277.0,1205,0.136
10,6,317.92,3427.4,1446,0.136
10,7,370.36,3992.8,1686,0.136
10,8,422.06,4550.2,1927,0.136
10,9,480.19,5176.8,2168,0.136
10,10,520.12,5607.2,2409,0.136
10,11,539.89,5820.4,2650,0.136
10,12,600.27,6471.3,2891,0.136
10,13,655.33,7064.9,3132,0.136
10,14,706.02,7611.4,3373,0.136
10,15,782.94,8440.6,3614,0.136
10,16,822.5,8867.2,3855,0.136
10,17,915.71,9872.0,4096,0.136
10,18,969.78,10455.0,4337,0.136
10,19,956.18,10308.3,4578,0.136
10,20,888.89,9582.9,4819,0.136
10,21,1091.29,11764.9,5059,0.136
10,22,1088.17,11731.3,5300,0.136
10,23,1130.54,12188.1,5541,0.136
10,24,1192.83,12859.6,5782,0.136
10,25,1241.58,13385.2,6023,0.136
10,26,1323.55,14268.9,6264,0.136
10,27,1308.6,14107.7,6505,0.136
10,28,1373.25,14804.7,6746,0.136
10,29,1466.08,15805.4,6987,0.136
11,0,18.69,163.7,0,0.133
11,1,146.99,1287.5,324,0.133
11,2,231.88,2031.1,647,0.133
11,3,353.88,3099.8,971,0.133
11,4,495.78,4342.7,1294,0.133
11,5,645.91,5657.8,1618,0.133
11,6,811.03,7104.1,1942,0.133
11,7,832.78,7294.7,2265,0.133
11,8,1015.33,8893.6,2589,0.133
11,9,1109.71,9720.4,2913,0.133
11,10,1227.87,10755.4,3236,0.133
11,11,1434.19,12562.6,3560,0.133
11,12,1549.26,13570.6,3883,0.133
11,13,1674.15,14664.5,4207,0.133
11,14,1816.04,15907.4,4531,0.133
11,15,1901.76,16658.3,4854,0.133
11,16,2030.92,17789.6,5178,0.133
11,17,2237.21,19596.6,5502,0.133
11,18,2291.99,20076.4,5825,0.133
11,19,2449.18,21453.3,6149,0.133
11,20,2555.07,22380.8,6472,0.133
11,21,2627.17,23012.4,6796,0.133
11,22,2749.02,24079.7,7120,0.133
11,23,2920.74,25583.8,7443,0.133
11,24,3097.53,27132.5,7767,0.133
11,25,3217.24,28181.0,8091,0.133
11,26,3348.76,29333.1,8414,0.133
11,27,3419.47,29952.4,8738,0.133
11,28,3625.3,31755.4,9061,0.133
11,29,3675.62,32196.2,9385,0.133
12,0,6.38,66.1,0,0.336
12,1,131.01,1355.8,189,0.336
12,2,257.43,2664.1,377,0.336
12,3,434.13,4492.7,566,0.336
12,4,504.14,5217.2,754,0.336
12,5,616.13,6376.2,943,0.336
12,6,788.54,8160.4,1132,0.336
12,7,907.27,9389.1,1320,0.336
12,8,1151.91,11920.8,1509,0.336
12,9,1202.21,12441.3,1697,0.336
12,10,1300.96,13463.3,1886,0.336
12,11,1412.88,14621.5,2075,0.336
12,12,1519.48,15724.6,2263,0.336
12,13,1676.45,17349.1,2452,0.336
12,14,1841.98,19062.2,2640,0.336
12,15,2012.68,20828.6,2829,0.336
12,16,2134.83,22092.8,3018,0.336
12,17,2239.38,23174.7,3206,0.336
12,18,2354.13,24362.3,3395,0.336
12,19,2503.22,25905.1,3583,0.336
12,20,2610.92,27019.7,3772,0.336
12,21,2809.35,29073.2,3961,0.336
12,22,2883.45,29840.0,4149,0.336
12,23,3017.86,31231.0,4338,0.336
12,24,3085.3,31928.9,4526,0.336
12,25,3277.23,33915.2,4715,0.336
12,26,3439.51,35594.6,4904,0.336
12,27,3513.71,36362.4,5092,0.336
12,28,3654.54,37819.9,5281,0.336
12,29,3832.17,39658.1,5469,0.336
13,0,0.0,0.0,0,0.301
13,1,165.65,2280.3,266,0.301
13,2,251.87,3467.2,532,0.301
13,3,390.09,5370.0,797,0.301
13,4,501.95,6909.8,1063,0.301
13,5,680.92,9373.6,1329,0.301
13,6,877.29,12076.8,1595,0.301
13,7,960.86,13227.2,1860,0.301
13,8,1045.4,14391.0,2126,0.301
13,9,1239.32,17060.4,2392,0.301
13,10,1329.66,18304.1,2658,0.301
13,11,1514.31,20846.0,2923,0.301
13,12,1631.2,22455.0,3189,0.301
13,13,1652.62,22749.9,3455,0.301
13,14,1844.71,25394.2,3721,0.301
13,15,2037.08,28042.4,3986,0.301
13,16,2147.21,29558.5,4252,0.301
13,17,2245.86,30916.5,4518,0.301
13,18,2391.49,32921.1,4784,0.301
13,19,2487.22,34239.1,5050,0.301
13,20,2675.67,36833.3,5315,0.301
13,21,2878.56,39626.2,5581,0.301
13,22,2970.31,40889.2,5847,0.301
13,23,3145.79,43304.9,6113,0.301
13,24,3240.46,44608.2,6378,0.301
13,25,3378.73,46511.6,6644,0.301
13,26,3541.05,48746.0,6910,0.301
13,27,3627.06,49930.0,7176,0.301
13,28,3744.04,51540.4,7441,0.301
13,29,3914.55,53887.7,7707,0.301
14,0,43.62,616.1,0,0.145
14,1,120.56,1702.9,34,0.145
14,2,248.28,3506.9,68,0.145
14,3,409.05,5777.8,102,0.145
14,4,564.79,7977.6,136,0.145
14,5,698.75,9869.7,170,0.145
14,6,767.04,10834.4,203,0.145
14,7,1002.08,14154.2,237,0.145
14,8,1060.46,14978.8,271,0.145
14,9,1206.7,17044.5,305,0.145
14,10,1322.54,18680.6,339,0.145
14,11,1565.53,22112.8,373,0.145
14,12,1626.8,22978.3,407,0.145
14,13,1728.97,24421.4,441,0.145
14,14,1915.38,27054.4,475,0.145
14,15,2047.5,28920.6,509,0.145
14,16,2153.75,30421.4,542,0.145
14,17,2319.56,32763.5,576,0.145
14,18,2404.55,33963.9,610,0.145
14,19,2549.48,36011.0,644,0.145
14,20,2638.92,37274.4,678,0.145
14,21,2794.47,39471.5,712,0.145
14,22,3023.38,42704.8,746,0.145
14,23,3153.36,44540.7,780,0.145
14,24,3241.05,45779.3,814,0.145
14,25,3423.93,48362.4,848,0.145
14,26,3504.2,49496.3,881,0.145
14,27,3636.66,51367.3,915,0.145
14,28,3780.62,53400.7,949,0.145
14,29,3910.14,55230.1,983,0.145
15,0,0.0,0.0,0,0.202
15,1,68.79,526.9,76,0.202
15,2,73.48,562.9,151,0.202
15,3,124.84,956.3,227,0.202
15,4,168.9,1293.7,302,0.202
15,5,184.1,1410.1,378,0.202
15,6,177.83,1362.1,453,0.202
15,7,200.84,1538.4,529,0.202
15,8,280.38,2147.7,604,0.202
15,9,305.27,2338.3,680,0.202
15,10,347.52,2661.9,755,0.202
15,11,378.91,2902.3,831,0.202
15,12,491.39,3763.9,906,0.202
15,13,408.46,3128.7,982,0.202
15,14,423.16,3241.3,1057,0.202
15,15,527.32,4039.1,1133,0.202
15,16,540.55,4140.5,1209,0.202
15,17,595.81,4563.8,1284,0.202
15,18,638.34,4889.5,1360,0.202
15,19,693.83,5314.6,1435,0.202
15,20,644.58,4937.3,1511,0.202
15,21,707.59,5420.0,1586,0.202
15,22,771.64,5910.6,1662,0.202
15,23,816.38,6253.3,1737,0.202
15,24,893.56,6844.5,1813,0.202
15,25,890.92,6824.2,1888,0.202
15,26,895.04,6855.8,1964,0.202
15,27,904.52,6928.4,2039,0.202
15,28,948.79,7267.5,2115,0.202
15,29,982.43,7525.2,2190,0.202
16,0,19.66,189.1,0,0.189
16,1,173.77,1671.9,175,0.189
16,2,292.41,2813.4,350,0.189
16,3,485.1,4667.3,525,0.189
16,4,690.56,6644.1,699,0.189
16,5,840.84,8090.1,874,0.189
16,6,1013.41,9750.4,1049,0.189
16,7,1173.89,11294.5,1224,0.189
16,8,1377.26,13251.1,1399,0.189
16,9,1501.6,14447.5,1574,0.189
16,10,1649.0,15865.7,1749,0.189
16,11,1799.17,17310.5,1924,0.189
16,12,2000.18,19244.6,2098,0.189
16,13,2085.53,20065.8,2273,0.189
16,14,2319.28,22314.8,2448,0.189
16,15,2484.7,23906.3,2623,0.189
16,16,2615.99,25169.5,2798,0.189
16,17,2795.14,26893.2,2973,0.189
16,18,3013.33,28992.5,3148,0.189
16,19,3162.02,30423.1,3322,0.189
16,20,3324.21,31983.6,3497,0.189
16,21,3496.41,33640.4,3672,0.189
16,22,3656.06,35176.4,3847,0.189
16,23,3856.62,37106.1,4022,0.189
16,24,3989.1,38380.7,4197,0.189
16,25,4107.7,39521.9,4372,0.189
16,26,4366.41,42011.0,4547,0.189
16,27,4494.68,43245.1,4721,0.189
16,28,4631.95,44565.8,4896,0.189
16,29,4778.08,45971.9,5071,0.189
17,0,11.88,124.6,0,0.298
17,1,143.27,1503.1,10,0.298
17,2,340.8,3575.5,21,0.298
17,3,429.99,4511.2,31,0.298
17,4,562.03,5896.5,41,0.298
17,5,760.81,7982.0,51,0.298
17,6,908.48,9531.3,62,0.298
17,7,1032.57,10833.2,72,0.298
17,8,1194.59,12533.0,82,0.298
17,9,1319.96,13848.2,93,0.298
17,10,1474.89,15473.7,103,0.298
17,11,1649.61,17306.8,113,0.298
17,12,1780.21,18677.0,123,0.298
17,13,1903.16,19966.9,134,0.298
17,14,2095.59,21985.8,144,0.298
17,15,2130.87,22355.8,154,0.298
17,16,2410.16,25286.1,164,0.298
17,17,2444.21,25643.3,175,0.298
17,18,2623.36,27522.8,185,0.298
17,19,2787.73,29247.3,195,0.298
17,20,2931.35,30754.1,206,0.298
17,21,3112.73,32657.0,216,0.298
17,22,3197.59,33547.3,226,0.298
17,23,3383.93,35502.3,236,0.298
17,24,3505.55,36778.3,247,0.298
17,25,3678.54,38593.2,257,0.298
17,26,3814.53,40019.9,267,0.298
17,27,3966.05,41609.6,278,0.298
17,28,4093.55,42947.2,288,0.298
17,29,4241.53,44499.8,298,0.298
18,0,8.62,124.9,0,0.228
18,1,187.48,2716.8,90,0.228
18,2,300.39,4353.0,180,0.228
18,3,451.45,6542.0,269,0.228
18,4,655.08,9492.9,359,0.228
18,5,794.87,11518.6,449,0.228
18,6,979.93,14200.3,539,0.228
18,7,1087.02,15752.1,628,0.228
18,8,1219.98,17678.8,718,0.228
18,9,1416.54,20527.2,808,0.228
18,10,1568.71,22732.3,898,0.228
18,11,1748.51,25337.8,987,0.228
18,12,1890.93,27401.8,1077,0.228
18,13,2091.44,30307.3,1167,0.228
18,14,2219.73,32166.4,1257,0.228
18,15,2392.06,34663.7,1347,0.228
18,16,2551.45,36973.3,1436,0.228
18,17,2711.74,39296.1,1526,0.228
18,18,2864.33,41507.4,1616,0.228
18,19,3039.55,44046.4,1706,0.228
18,20,3159.53,45785.1,1795,0.228
18,21,3384.55,49045.9,1885,0.228
18,22,3494.64,50641.3,1975,0.228
18,23,3621.56,52480.5,2065,0.228
18,24,3825.72,55439.0,2154,0.228
18,25,3953.71,57293.7,2244,0.228
18,26,4158.38,60259.6,2334,0.228
18,27,4363.88,63237.5,2424,0.228
18,28,4433.16,64241.5,2513,0.228
18,29,4625.9,67034.5,2603,0.228
19,0,0.0,0.0,0,0.132
19,1,50.26,753.2,180,0.132
19,2,46.71,700.0,360,0.132
19,3,91.18,1366.4,540,0.132
19,4,113.52,1701.3,720,0.132
19,5,205.17,3074.7,900,0.132
19,6,250.06,3747.5,1080,0.132
19,7,257.18,3854.2,1261,0.132
19,8,267.19,4004.2,1441,0.132
19,9,377.45,5656.5,1621,0.132
19,10,343.89,5153.6,1801,0.132
19,11,338.18,5068.1,1981,0.132
19,12,453.44,6795.3,2161,0.132
19,13,443.18,6641.6,2341,0.132
19,14,542.62,8131.9,2521,0.132
19,15,538.17,8065.1,2701,0.132
19,16,604.36,9057.0,2881,0.132
19,17,664.93,9964.8,3061,0.132
19,18,623.26,9340.3,3241,0.132
19,19,679.19,10178.5,3421,0.132
19,20,730.54,10948.0,3602,0.132
19,21,815.58,12222.4,3782,0.132
19,22,786.34,11784.2,3962,0.132
19,23,824.9,12362.0,4142,0.132
19,24,893.72,13393.4,4322,0.132
19,25,898.69,13468.0,4502,0.132
19,26,957.23,14345.2,4682,0.132
19,27,942.75,14128.2,4862,0.132
19,28,1092.36,16370.3,5042,0.132
19,29,1022.14,15318.0,5222,0.132
20,0,0.0,0.0,0,0.285
20,1,162.32,1193.7,9,0.285
20,2,383.96,2823.7,17,0.285
20,3,450.13,3310.3,26,0.285
20,4,712.67,5241.1,34,0.285
20,5,839.17,6171.3,43,0.285
20,6,992.26,7297.1,51,0.285
20,7,1113.5,8188.7,60,0.285
20,8,1323.46,9732.8,68,0.285
20,9,1447.91,10648.1,77,0.285
20,10,1670.91,12288.0,86,0.285
20,11,1767.07,12995.1,94,0.285
20,12,1956.1,14385.3,103,0.285
20,13,2106.12,15488.6,111,0.285
20,14,2256.45,16594.1,120,0.285
20,15,2471.6,18176.3,128,0.285
20,16,2628.72,19331.8,137,0.285
20,17,2812.22,20681.2,145,0.285
20,18,2885.84,21222.7,154,0.285
20,19,3134.45,23051.0,163,0.285
20,20,3340.98,24569.8,171,0.285
20,21,3415.56,25118.3,180,0.285
20,22,3649.25,26836.9,188,0.285
20,23,3747.8,27561.6,197,0.285
20,24,3877.81,28517.7,205,0.285
20,25,4073.1,29953.9,214,0.285
20,26,4277.01,31453.4,222,0.285
20,27,4383.71,32238.1,231,0.285
20,28,4554.13,33491.4,240,0.285
20,29,4753.24,34955.7,248,0.285
21,0,0.09,1.1,0,0.199
21,1,163.72,2008.8,94,0.199
21,2,299.49,3674.7,188,0.199
21,3,452.92,5557.3,281,0.199
21,4,571.74,7015.2,375,0.199
21,5,737.84,9053.2,469,0.199
21,6,849.25,10420.1,563,0.199
21,7,1061.9,13029.3,656,0.199
21,8,1150.39,14115.1,750,0.199
21,9,1349.46,16557.7,844,0.199
21,10,1454.77,17849.7,938,0.199
21,11,1614.01,19803.6,1031,0.199
21,12,1739.28,21340.7,1125,0.199
21,13,1869.83,22942.4,1219,0.199
21,14,1994.15,24467.8,1313,0.199
21,15,2161.01,26515.1,1406,0.199
21,16,2329.13,28577.9,1500,0.199
21,17,2491.38,30568.7,1594,0.199
21,18,2661.51,32656.2,1688,0.199
21,19,2764.0,33913.8,1781,0.199
21,20,2897.1,35546.8,1875,0.199
21,21,3026.45,37133.9,1969,0.199
21,22,3230.31,39635.3,2063,0.199
21,23,3403.58,41761.3,2156,0.199
21,24,3546.26,43511.8,2250,0.199
21,25,3675.74,45100.6,2344,0.199
21,26,3819.78,46867.9,2438,0.199
21,27,3997.73,49051.3,2531,0.199
21,28,4102.94,50342.2,2625,0.199
21,29,4258.54,52251.4,2719,0.199
22,0,0.0,0.0,0,0.166
22,1,109.1,957.9,179,0.166
22,2,279.41,2453.3,358,0.166
22,3,449.61,3947.7,537,0.166
22,4,601.67,5282.8,716,0.166
22,5,807.59,7090.9,895,0.166
22,6,902.21,7921.6,1074,0.166
22,7,1085.09,9527.5,1252,0.166
22,8,1186.64,10419.0,1431,0.166
22,9,1340.3,11768.3,1610,0.166
22,10,1459.74,12817.0,1789,0.166
22,11,1627.3,14288.2,1968,0.166
22,12,1815.34,15939.3,2147,0.166
22,13,1949.72,17119.2,2326,0.166
22,14,2127.75,18682.3,2505,0.166
22,15,2254.86,19798.3,2684,0.166
22,16,2388.81,20974.5,2863,0.166
22,17,2613.79,22949.9,3042,0.166
22,18,2696.49,23676.0,3221,0.166
22,19,2884.15,25323.8,3400,0.166
22,20,2987.19,26228.4,3579,0.166
22,21,3170.47,27837.8,3757,0.166
22,22,3326.99,29212.0,3936,0.166
22,23,3455.36,30339.2,4115,0.166
22,24,3528.44,30980.8,4294,0.166
22,25,3749.58,32922.5,4473,0.166
22,26,3935.91,34558.5,4652,0.166
22,27,4064.78,35690.0,4831,0.166
22,28,4212.29,36985.2,5010,0.166
22,29,4297.21,37730.8,5189,0.166
23,0,0.0,0.0,0,0.194
