scenario_id,step,u_displacement,K_stiffness,G_ratio,f_over_f0
3,12,0.03216,4.406947,0.953641,0.906138
3,13,0.037983,4.339979,0.943968,0.890712
3,14,0.038996,4.276387,0.942275,0.8938
3,15,0.040455,4.261826,0.939829,0.884963
3,16,0.044152,4.314165,0.933615,0.883877
3,17,0.045856,4.311351,0.930742,0.880602
3,18,0.05061,4.200133,0.922711,0.876784
3,19,0.052899,4.267738,0.918839,0.872839
3,20,0.056874,4.207755,0.912116,0.87374
3,21,0.057309,4.242551,0.91138,0.86576
3,22,0.062539,4.197005,0.902543,0.85727
3,23,0.065741,4.120389,0.897143,0.861651
3,24,0.06504,4.199955,0.898326,0.857891
3,25,0.074651,4.012533,0.882192,0.852352
3,26,0.07211,4.175175,0.886443,0.848791
3,27,0.075926,4.01279,0.880065,0.839452
3,28,0.082028,3.999788,0.869922,0.851564
3,29,0.08658,3.944663,0.862413,0.833029
4,0,0.0,4.051968,1.0,0.991201
4,1,0.002447,4.172595,0.996749,0.98788
4,2,0.006314,4.007715,0.989932,0.967117
4,3,0.010769,4.024245,0.981066,0.956535
4,4,0.01517,3.942926,0.97171,0.94637
4,5,0.017155,3.971378,0.967358,0.935063
4,6,0.02007,3.886827,0.960858,0.924419
4,7,0.025299,3.869595,0.948962,0.922497
4,8,0.025836,3.878925,0.947729,0.906843
4,9,0.031646,3.772518,0.934269,0.891714
4,10,0.032255,3.898809,0.93285,0.895881
4,11,0.037248,3.772255,0.921188,0.87742
4,12,0.040155,3.710679,0.914388,0.872583
4,13,0.044052,3.656358,0.905278,0.861445
4,14,0.046973,3.657653,0.89846,0.860398
4,15,0.05439,3.540713,0.881249,0.848491
4,16,0.053057,3.660936,0.88433,0.847255
4,17,0.057147,3.573818,0.874899,0.841103
4,18,0.066452,3.469209,0.853704,0.832255
4,19,0.068174,3.492657,0.849829,0.827181
4,20,0.067314,3.43937,0.851762,0.81793
4,21,0.074937,3.355968,0.83476,0.809194
4,22,0.076234,3.379185,0.831902,0.815377
4,23,0.081425,3.341693,0.820554,0.800071
4,24,0.081267,3.356552,0.820899,0.804719
4,25,0.093468,3.18528,0.794879,0.792763
4,26,0.095823,3.19837,0.789968,0.777203
4,27,0.106063,3.031461,0.76904,0.772538
4,28,0.105199,3.097915,0.770778,0.777904
4,29,0.112702,3.096232,0.755845,0.765445
5,0,0.0,2.85614,1.0,0.979925
5,1,0.013571,2.727182,0.975162,0.968278
5,2,0.023458,2.687741,0.953178,0.954399
5,3,0.032554,2.637688,0.932151,0.931103
5,4,0.040145,2.61471,0.91441,0.930311
5,5,0.055252,2.525413,0.879258,0.891532
5,6,0.05879,2.468142,0.871124,0.886305
5,7,0.070106,2.385632,0.845495,0.875043
5,8,0.085048,2.26598,0.812729,0.855963
5,9,0.101154,2.206078,0.778979,0.836209
5,10,0.105024,2.226746,0.771127,0.828361
5,11,0.118358,2.134287,0.744834,0.811732
5,12,0.12802,2.058908,0.726528,0.802312
5,13,0.147752,1.960899,0.691057,0.779666
5,14,0.163641,1.866323,0.664296,0.768986
5,15,0.176383,1.815175,0.643942,0.753357
5,16,0.1855,1.784754,0.629959,0.743165
5,17,0.200787,1.721311,0.607547,0.72885
5,18,0.212311,1.690151,0.591469,0.724791
5,19,0.233683,1.609149,0.563394,0.698254
5,20,0.249894,1.545554,0.543505,0.681493
5,21,0.269748,1.45823,0.520669,0.667788
5,22,0.293773,1.387104,0.495084,0.654252
5,23,0.312727,1.335593,0.476345,0.645085
5,24,0.330672,1.303466,0.459677,0.635363
5,25,0.364936,1.193086,0.430464,0.618275
5,26,0.37686,1.191003,0.421031,0.606954
5,27,0.397644,1.16305,0.405413,0.587459
5,28,0.425305,1.099592,0.386118,0.576127
5,29,0.448555,1.046123,0.371093,0.555293
6,0,0.000216,2.926487,0.999803,0.990066
6,1,0.007906,2.928029,0.985405,0.974063
6,2,0.0121,2.885448,0.975913,0.954129
6,3,0.025031,2.776432,0.944242,0.954392
6,4,0.028885,2.738273,0.934474,0.931932
6,5,0.03846,2.684483,0.910026,0.906035
6,6,0.048772,2.597234,0.8838,0.897766
6,7,0.055144,2.578001,0.86779,0.894299
6,8,0.060997,2.546367,0.853274,0.885155
6,9,0.070251,2.415304,0.83076,0.86077
6,10,0.081146,2.343843,0.805026,0.844624
6,11,0.08677,2.366288,0.792095,0.841291
6,12,0.093458,2.294233,0.777039,0.824182
6,13,0.102469,2.207043,0.757318,0.81407
6,14,0.106663,2.227594,0.748362,0.809368
6,15,0.121385,2.123747,0.718036,0.781502
6,16,0.127501,2.126714,0.705942,0.786052
6,17,0.14327,1.988165,0.676083,0.756209
6,18,0.149361,1.982057,0.665047,0.749839
6,19,0.165121,1.852541,0.637721,0.736881
6,20,0.165987,1.901682,0.636271,0.739476
6,21,0.183205,1.81041,0.608444,0.72124
6,22,0.187147,1.803972,0.602341,0.712883
6,23,0.202764,1.725918,0.579093,0.700014
6,24,0.211652,1.668178,0.566497,0.695488
6,25,0.229654,1.579796,0.542303,0.674995
6,26,0.234191,1.571804,0.53647,0.666803
6,27,0.254733,1.480617,0.51131,0.651481
6,28,0.269402,1.444232,0.494515,0.647991
6,29,0.274013,1.448795,0.489425,0.635147
7,0,0.0,5.053796,1.0,0.983811
7,1,0.002401,5.035874,0.99821,0.983435
7,2,0.002705,5.00575,0.997935,0.978442
7,3,0.003668,4.951823,0.997026,0.977954
7,4,0.005603,5.040419,0.995065,0.960207
7,5,0.010074,5.024994,0.990072,0.962801
7,6,0.009858,4.95764,0.990325,0.962859
7,7,0.011212,4.972548,0.988728,0.949098
7,8,0.011481,5.074658,0.988406,0.950083
7,9,0.012658,5.048265,0.986984,0.935012
7,10,0.011327,4.924323,0.988591,0.948448
7,11,0.014497,4.974728,0.984718,0.943824
7,12,0.015919,5.042229,0.982933,0.936303
7,13,0.01596,4.958901,0.982881,0.927611
7,14,0.018209,4.941792,0.980006,0.934655
7,15,0.018438,5.007753,0.97971,0.928706
7,16,0.022238,4.977052,0.974723,0.911669
7,17,0.024509,4.958986,0.971683,0.927307
7,18,0.026717,4.885075,0.968691,0.926385
7,19,0.026809,4.929742,0.968567,0.926057
7,20,0.026504,4.972607,0.968981,0.911847
7,21,0.027079,4.892974,0.968198,0.907582
7,22,0.028898,4.863116,0.965706,0.913392
7,23,0.03021,4.933615,0.963897,0.916546
7,24,0.031849,4.961631,0.961625,0.907153
7,25,0.034259,4.947643,0.95826,0.902016
7,26,0.035397,4.818981,0.956664,0.912168
7,27,0.038479,4.801915,0.952316,0.904572
7,28,0.039773,4.756367,0.95048,0.907747
7,29,0.040862,4.803666,0.948932,0.903604
8,0,0.003663,1.866038,0.996433,0.994445
8,1,0.006178,1.870546,0.993343,0.988437
8,2,0.020918,1.852671,0.971856,0.972208
8,3,0.029601,1.820464,0.957921,0.960964
8,4,0.039246,1.750883,0.941956,0.946565
8,5,0.051827,1.770471,0.920789,0.940627
8,6,0.063699,1.686632,0.900751,0.931512
8,7,0.067848,1.675699,0.893773,0.916786
8,8,0.081346,1.628904,0.871259,0.914727
8,9,0.09318,1.601924,0.851846,0.894979
8,10,0.102038,1.571323,0.837559,0.885143
8,11,0.116329,1.529391,0.815008,0.873993
8,12,0.128185,1.471215,0.796802,0.864013
8,13,0.143036,1.468397,0.774671,0.843559
8,14,0.142545,1.47126,0.77539,0.848107
8,15,0.157654,1.458696,0.753638,0.837495
8,16,0.169356,1.40261,0.73734,0.820414
8,17,0.191471,1.333321,0.707839,0.80515
8,18,0.196366,1.312095,0.701535,0.796895
8,19,0.217463,1.277105,0.675278,0.782306
8,20,0.226175,1.264258,0.664858,0.776584
8,21,0.24144,1.21897,0.647176,0.762633
8,22,0.255113,1.197024,0.63194,0.757245
8,23,0.270795,1.18658,0.615137,0.748695
8,24,0.302962,1.099025,0.582796,0.728787
8,25,0.317195,1.057461,0.569344,0.71418
8,26,0.334902,1.056563,0.553294,0.70467
8,27,0.357929,1.013113,0.533498,0.698907
8,28,0.380373,0.958814,0.515298,0.679493
8,29,0.387054,0.969732,0.510077,0.682901
9,0,0.000975,2.873602,0.999324,0.993126
9,1,0.005103,2.903036,0.995094,0.991271
9,2,0.011252,2.92271,0.987426,0.985115
9,3,0.015627,2.845649,0.981465,0.960981
9,4,0.026961,2.833048,0.964937,0.966341
9,5,0.031557,2.748227,0.957955,0.961861
9,6,0.039655,2.704275,0.945419,0.944345
9,7,0.042137,2.789887,0.941535,0.943108
9,8,0.053611,2.690426,0.923444,0.925397
9,9,0.058182,2.678097,0.916208,0.925786
9,10,0.067212,2.649838,0.901922,0.927358
9,11,0.079838,2.548481,0.882072,0.891762
9,12,0.087046,2.550269,0.870846,0.893301
9,13,0.093954,2.515259,0.860184,0.892712
9,14,0.099531,2.441623,0.851653,0.889212
9,15,0.123099,2.407337,0.816468,0.856429
9,16,0.130293,2.371747,0.806034,0.853496
9,17,0.142209,2.262506,0.789087,0.84389
9,18,0.14601,2.281047,0.783771,0.839896
9,19,0.163554,2.201782,0.759807,0.828339
9,20,0.169233,2.215928,0.752252,0.817356
9,21,0.198055,2.048694,0.715436,0.802469
9,22,0.198761,2.150247,0.714566,0.797727
9,23,0.217369,2.006916,0.692168,0.78904
9,24,0.229811,1.983104,0.677758,0.777137
9,25,0.256542,1.909044,0.64827,0.762017
9,26,0.28458,1.795521,0.619393,0.740348
9,27,0.308195,1.730846,0.596598,0.736264
9,28,0.314522,1.707126,0.590716,0.72575
9,29,0.323806,1.67619,0.582251,0.721874
10,0,0.0,1.877786,1.0,0.986246
10,1,0.006276,1.84849,0.988412,0.971414
10,2,0.010747,1.822416,0.978134,0.956008
10,3,0.016682,1.796189,0.963492,0.943394
10,4,0.021523,1.79133,0.951072,0.923643
10,5,0.022699,1.761186,0.948016,0.912378
10,6,0.033957,1.715534,0.918346,0.895049
10,7,0.039369,1.708154,0.904013,0.878626
10,8,0.04508,1.66885,0.888951,0.867088
10,9,0.051953,1.61399,0.870996,0.848882
10,10,0.055829,1.611969,0.860981,0.849556
10,11,0.057669,1.610516,0.856257,0.83402
10,12,0.063817,1.589833,0.840638,0.83236
10,13,0.070667,1.530618,0.823555,0.814166
10,14,0.076131,1.508767,0.810191,0.809331
10,15,0.085156,1.466639,0.788653,0.787751
10,16,0.08944,1.448794,0.778668,0.773526
10,17,0.098755,1.424316,0.757503,0.762176
10,18,0.104263,1.404089,0.745338,0.774408
10,19,0.102737,1.416788,0.748683,0.758807
10,20,0.096115,1.428358,0.763425,0.773561
10,21,0.120913,1.311208,0.710152,0.732158
10,22,0.117376,1.352521,0.717429,0.742075
10,23,0.122889,1.324472,0.706131,0.735862
10,24,0.130269,1.295561,0.691402,0.738982
10,25,0.138148,1.250004,0.676167,0.714266
10,26,0.145926,1.236571,0.661612,0.70412
10,27,0.145676,1.225059,0.662072,0.708923
10,28,0.150572,1.229028,0.653141,0.696874
10,29,0.163472,1.175602,0.63047,0.691171
11,0,0.000646,5.784393,0.999652,0.993196
11,1,0.005121,5.703416,0.995845,0.981531
11,2,0.007896,5.83543,0.993034,0.981075
11,3,0.012211,5.733717,0.988302,0.971527
11,4,0.01717,5.719768,0.982494,0.967402
11,5,0.022376,5.63586,0.976102,0.964712
11,6,0.028379,5.540206,0.968463,0.946263
11,7,0.028917,5.599213,0.967767,0.942718
11,8,0.035141,5.560984,0.959615,0.931142
11,9,0.038197,5.574377,0.955555,0.935663
11,10,0.042589,5.50424,0.949666,0.924356
11,11,0.050234,5.424348,0.939307,0.921904
11,12,0.054855,5.345324,0.933,0.920956
11,13,0.058463,5.40079,0.92806,0.907281
11,14,0.06445,5.307789,0.919848,0.902827
11,15,0.065875,5.409543,0.917891,0.907729
11,16,0.07215,5.296865,0.909277,0.900542
11,17,0.079546,5.259375,0.899143,0.893563
11,18,0.082475,5.193735,0.895139,0.88554
11,19,0.088783,5.167068,0.886543,0.875081
11,20,0.093927,5.07053,0.879565,0.874174
11,21,0.096959,5.032272,0.875468,0.869869
11,22,0.101569,5.056941,0.869263,0.874089
11,23,0.108715,5.029116,0.859707,0.867261
11,24,0.118554,4.829062,0.846692,0.855635
11,25,0.122871,4.867588,0.841038,0.853187
11,26,0.125808,4.959453,0.837212,0.85501
11,27,0.132067,4.84576,0.829115,0.846631
11,28,0.139963,4.837153,0.819015,0.839691
11,29,0.145434,4.693692,0.812093,0.848512
12,0,0.000238,5.379986,0.999885,0.987476
12,1,0.004814,5.434649,0.995793,0.985405
12,2,0.009466,5.38781,0.990578,0.976007
12,3,0.016203,5.3041,0.982195,0.956969
12,4,0.019046,5.222176,0.978465,0.95528
12,5,0.022788,5.322606,0.97343,0.955397
12,6,0.029332,5.343577,0.964364,0.942581
12,7,0.035526,5.083961,0.955562,0.928235
12,8,0.045051,5.162001,0.941761,0.927797
12,9,0.048753,5.037543,0.936339,0.91733
12,10,0.052864,5.011817,0.930297,0.916694
12,11,0.058515,4.997002,0.921968,0.921527
12,12,0.065372,4.869448,0.911849,0.902906
12,13,0.072261,4.872166,0.901694,0.897388
12,14,0.084386,4.700894,0.883916,0.882543
12,15,0.094659,4.719646,0.869006,0.869013
12,16,0.101485,4.748008,0.859198,0.873314
12,17,0.111422,4.538759,0.845083,0.856913
12,18,0.121178,4.48661,0.831434,0.850464
12,19,0.134388,4.390969,0.813309,0.850511
12,20,0.140227,4.396607,0.805435,0.834892
12,21,0.160887,4.223957,0.778283,0.827535
12,22,0.164966,4.217094,0.773055,0.81983
12,23,0.182266,4.040901,0.751378,0.803379
12,24,0.190789,4.022687,0.740992,0.801657
12,25,0.216857,3.710768,0.710424,0.779062
12,26,0.230532,3.782331,0.695098,0.777668
12,27,0.243442,3.636573,0.681066,0.771688
12,28,0.260043,3.575409,0.663631,0.755458
12,29,0.286513,3.46991,0.637191,0.746297
13,0,0.0,1.159912,1.0,0.986249
13,1,0.027701,1.127009,0.946398,0.956998
13,2,0.042712,1.074239,0.913047,0.944201
13,3,0.065279,1.031672,0.863234,0.911538
13,4,0.086696,0.954749,0.817863,0.869617
13,5,0.118211,0.874211,0.755811,0.833846
13,6,0.150616,0.822345,0.698283,0.791546
13,7,0.163941,0.801516,0.676429,0.785376
13,8,0.178842,0.774604,0.653172,0.766973
13,9,0.216981,0.697542,0.598938,0.726141
13,10,0.236491,0.665059,0.573886,0.718156
13,11,0.26655,0.632327,0.538459,0.68654
13,12,0.28874,0.609264,0.514541,0.668274
13,13,0.292601,0.604244,0.510559,0.668587
13,14,0.326494,0.571576,0.477696,0.64127
13,15,0.373362,0.513763,0.437764,0.614457
13,16,0.405412,0.478245,0.413608,0.604866
13,17,0.410955,0.488359,0.409662,0.589838
13,18,0.446039,0.455734,0.386115,0.578021
13,19,0.471438,0.437667,0.370486,0.559268
13,20,0.511652,0.412952,0.347883,0.539313
13,21,0.562348,0.384858,0.322626,0.523006
13,22,0.588602,0.366014,0.310778,0.526675
13,23,0.631653,0.349134,0.292931,0.501931
13,24,0.659163,0.334563,0.282448,0.490675
13,25,0.711178,0.309362,0.264348,0.469675
13,26,0.753218,0.295184,0.251165,0.458243
13,27,0.778195,0.289057,0.243874,0.445337
13,28,0.819766,0.271996,0.232543,0.451231
13,29,0.865567,0.26277,0.221104,0.43233
14,0,0.002266,3.857869,0.997113,0.986474
14,1,0.006204,3.840432,0.990397,0.973109
14,2,0.012713,3.830713,0.977578,0.966689
14,3,0.021109,3.719916,0.959556,0.940664
14,4,0.029307,3.638348,0.94119,0.920966
14,5,0.036363,3.570705,0.925116,0.916556
14,6,0.040033,3.536452,0.916719,0.896161
14,7,0.052278,3.444012,0.888779,0.867832
14,8,0.054648,3.45908,0.883411,0.861528
14,9,0.063789,3.312906,0.862894,0.853421
14,10,0.069687,3.260334,0.849848,0.844768
14,11,0.082384,3.217615,0.822379,0.828896
14,12,0.087548,3.116909,0.811471,0.812157
14,13,0.092368,3.102578,0.801435,0.807097
14,14,0.103422,2.991275,0.778964,0.790019
14,15,0.113326,2.884594,0.759493,0.78672
14,16,0.117185,2.910978,0.752077,0.781441
14,17,0.126785,2.867178,0.734043,0.773382
14,18,0.133881,2.783797,0.721092,0.756028
14,19,0.145428,2.666628,0.700694,0.752018
14,20,0.149524,2.682471,0.693657,0.733657
14,21,0.16099,2.585853,0.674501,0.726467
14,22,0.181109,2.417845,0.642746,0.701958
14,23,0.185999,2.452416,0.635373,0.704579
14,24,0.191636,2.434721,0.627032,0.697781
14,25,0.204001,2.381498,0.609324,0.673109
14,26,0.210106,2.361898,0.60087,0.685504
14,27,0.222628,2.271019,0.584099,0.674493
14,28,0.234705,2.21705,0.568621,0.657004
14,29,0.251327,2.091132,0.548377,0.64859
15,0,0.0,4.028527,1.0,0.983951
15,1,0.003422,3.995532,0.995281,0.978049
15,2,0.00371,3.929154,0.994803,0.982617
15,3,0.006278,3.952443,0.990275,0.959998
15,4,0.008503,3.93171,0.986066,0.958685
15,5,0.009195,3.961026,0.984713,0.945869
15,6,0.008986,3.899362,0.985124,0.950006
15,7,0.010204,3.866641,0.982715,0.946145
15,8,0.014274,3.843669,0.974361,0.938668
15,9,0.015303,3.888555,0.972191,0.932246
15,10,0.017934,3.758084,0.966554,0.931682
15,11,0.019625,3.702669,0.962877,0.917371
15,12,0.024783,3.805541,0.95146,0.906319
15,13,0.020678,3.81838,0.960568,0.91098
15,14,0.021444,3.801931,0.958881,0.904045
15,15,0.027225,3.701124,0.945979,0.903428
15,16,0.028027,3.678919,0.944172,0.899644
15,17,0.030508,3.697054,0.938558,0.897935
15,18,0.032455,3.716519,0.934134,0.884099
15,19,0.035632,3.652907,0.926896,0.887619
15,20,0.032804,3.733285,0.933341,0.895397
15,21,0.036721,3.629612,0.924409,0.887077
15,22,0.039813,3.617677,0.917343,0.870451
15,23,0.041903,3.643075,0.912569,0.876142
15,24,0.046547,3.562134,0.901968,0.866772
15,25,0.046263,3.566463,0.902615,0.870352
15,26,0.046757,3.550717,0.901489,0.867162
15,27,0.047519,3.537261,0.899752,0.876401
15,28,0.049424,3.562217,0.895418,0.865382
15,29,0.051501,3.548025,0.890701,0.864174
16,0,0.002269,1.728415,0.99743,0.98266
16,1,0.020221,1.659278,0.965657,0.963137
16,2,0.034004,1.61809,0.937774,0.940033
16,3,0.055459,1.56925,0.893378,0.917297
16,4,0.081726,1.432183,0.8403,0.879013
16,5,0.096694,1.429188,0.811325,0.868635
16,6,0.118671,1.334009,0.770807,0.838902
16,7,0.140757,1.26441,0.73264,0.811366
16,8,0.164472,1.212187,0.694494,0.791782
16,9,0.187087,1.118772,0.660744,0.768617
16,10,0.201615,1.122403,0.640346,0.755821
16,11,0.221678,1.080821,0.613733,0.733997
16,12,0.25493,1.00198,0.573297,0.706256
16,13,0.275072,0.932347,0.550839,0.692472
16,14,0.308523,0.899962,0.51658,0.665887
16,15,0.333721,0.866457,0.493034,0.656683
16,16,0.355982,0.831609,0.473685,0.645375
16,17,0.401201,0.746792,0.438105,0.615488
16,18,0.435634,0.722968,0.413949,0.601537
16,19,0.460934,0.6998,0.397617,0.587488
16,20,0.508394,0.639578,0.369816,0.55933
16,21,0.552013,0.591407,0.347106,0.546791
16,22,0.584275,0.578459,0.331824,0.523567
16,23,0.632758,0.543309,0.310966,0.513376
16,24,0.673425,0.50964,0.295181,0.493018
16,25,0.720423,0.475985,0.278622,0.483903
16,26,0.778411,0.454531,0.260339,0.461048
16,27,0.832066,0.420736,0.245234,0.459561
16,28,0.881371,0.403878,0.232674,0.440099
16,29,0.907095,0.397825,0.226567,0.440342
17,0,0.000657,3.603906,0.999517,0.990144
17,1,0.007721,3.665707,0.990799,0.968577
17,2,0.018671,3.563416,0.973906,0.960008
17,3,0.023534,3.534808,0.965836,0.949034
17,4,0.030879,3.513166,0.953286,0.939081
17,5,0.042295,3.39548,0.93329,0.931017
17,6,0.051633,3.321728,0.916748,0.918973
17,7,0.059119,3.25347,0.903479,0.898783
17,8,0.067016,3.301634,0.889538,0.882341
17,9,0.075881,3.192641,0.874017,0.87302
17,10,0.085484,3.161588,0.857412,0.867794
17,11,0.098229,3.049512,0.835785,0.850732
17,12,0.108217,2.968699,0.819207,0.832017
17,13,0.115544,2.979138,0.807271,0.829312
17,14,0.12982,2.886081,0.784583,0.823997
17,15,0.134352,2.844079,0.777543,0.813416
17,16,0.156331,2.737991,0.744518,0.79308
17,17,0.160658,2.680717,0.738236,0.785824
17,18,0.173068,2.670148,0.720619,0.774653
17,19,0.188405,2.598404,0.699652,0.766713
17,20,0.205319,2.503029,0.677537,0.751262
17,21,0.227415,2.374986,0.650178,0.738407
17,22,0.23561,2.349602,0.640456,0.730925
17,23,0.254334,2.305385,0.619064,0.715196
17,24,0.26942,2.237823,0.602628,0.706886
17,25,0.288101,2.180967,0.583214,0.689958
17,26,0.3155,2.024459,0.556499,0.676134
17,27,0.335981,1.954666,0.5378,0.671068
17,28,0.352588,1.921539,0.523382,0.654479
17,29,0.372065,1.867445,0.507267,0.643206
18,0,0.000355,4.822756,0.999751,0.985719
18,1,0.007819,4.763576,0.989936,0.965877
18,2,0.012378,4.807247,0.982664,0.962502
18,3,0.019183,4.686577,0.97102,0.957461
18,4,0.02884,4.550603,0.95358,0.930652
18,5,0.035751,4.494571,0.940738,0.924472
18,6,0.045322,4.468565,0.92273,0.909442
18,7,0.049775,4.549557,0.914322,0.900949
18,8,0.060986,4.272772,0.893197,0.886776
18,9,0.073212,4.19155,0.870408,0.875509
18,10,0.082543,4.221212,0.853287,0.854453
18,11,0.098537,3.964379,0.824635,0.84585
18,12,0.111327,3.894117,0.802442,0.829295
18,13,0.129683,3.798357,0.771796,0.801899
18,14,0.14622,3.566852,0.745445,0.796526
18,15,0.165699,3.447865,0.715935,0.777328
18,16,0.182348,3.326746,0.692001,0.758153
18,17,0.206589,3.136128,0.659196,0.743384
18,18,0.215596,3.177541,0.6476,0.728506
18,19,0.251934,2.900089,0.603865,0.705085
18,20,0.274458,2.772734,0.57904,0.692883
18,21,0.31383,2.594222,0.539411,0.659735
18,22,0.332381,2.546328,0.522249,0.650796
18,23,0.355991,2.42625,0.501677,0.637541
18,24,0.389441,2.275308,0.474756,0.624945
18,25,0.40935,2.230612,0.459864,0.616286
18,26,0.466187,2.052395,0.421429,0.582976
18,27,0.496041,1.948203,0.403381,0.569781
18,28,0.528949,1.855391,0.384977,0.561188
18,29,0.56113,1.797459,0.368339,0.54883
19,0,0.0,1.459583,1.0,0.982711
19,1,0.006801,1.471392,0.990358,0.97995
19,2,0.006462,1.43796,0.990928,0.962847
19,3,0.012575,1.421844,0.980052,0.947024
19,4,0.015609,1.411741,0.974295,0.935735
19,5,0.028313,1.384097,0.94885,0.922969
19,6,0.034208,1.369596,0.936643,0.90847
19,7,0.035706,1.346902,0.933521,0.890112
19,8,0.036644,1.363454,0.931564,0.888807
19,9,0.051143,1.325224,0.901225,0.87077
19,10,0.047728,1.308752,0.908367,0.871735
