scenario_id,step,wave_H_m,wind_V_ms,water_depth_m,scour_depth_m
9,11,1.576,15.55,26.36,4.222
9,12,1.597,14.6,26.36,4.353
9,13,1.787,15.48,26.36,4.528
9,14,1.696,15.47,26.36,4.685
9,15,1.73,16.77,26.36,4.813
9,16,2.048,17.56,26.36,4.941
9,17,2.019,17.76,26.36,5.038
9,18,1.787,18.62,26.36,5.126
9,19,1.948,18.92,26.36,5.272
9,20,2.1,19.65,26.36,5.306
9,21,2.159,19.96,26.36,5.345
9,22,2.028,19.96,26.36,5.446
9,23,2.344,20.57,26.36,5.488
9,24,2.362,20.76,26.36,5.545
9,25,2.379,21.42,26.36,5.623
9,26,2.517,21.98,26.36,5.642
9,27,2.478,22.41,26.36,5.666
9,28,2.528,23.31,26.36,5.732
9,29,2.69,23.27,26.36,5.777
10,0,3.349,11.32,31.83,0.873
10,1,3.311,11.9,31.83,1.52
10,2,3.615,12.91,31.83,2.184
10,3,3.641,12.85,31.83,2.782
10,4,3.914,13.78,31.83,3.294
10,5,4.068,14.79,31.83,3.76
10,6,4.038,15.04,31.83,4.168
10,7,4.321,15.49,31.83,4.539
10,8,4.516,16.06,31.83,4.95
10,9,4.602,16.33,31.83,5.22
10,10,4.833,16.94,31.83,5.51
10,11,5.039,17.7,31.83,5.749
10,12,5.112,18.4,31.83,5.976
10,13,5.293,19.16,31.83,6.178
10,14,5.566,19.46,31.83,6.341
10,15,5.631,20.4,31.83,6.499
10,16,5.76,21.03,31.83,6.687
10,17,5.801,21.35,31.83,6.818
10,18,6.12,22.04,31.83,6.955
10,19,6.242,21.94,31.83,7.061
10,20,6.494,22.45,31.83,7.129
10,21,6.526,23.51,31.83,7.257
10,22,6.496,23.51,31.83,7.33
10,23,6.664,24.38,31.83,7.401
10,24,7.064,25.26,31.83,7.498
10,25,7.09,26.02,31.83,7.553
10,26,7.347,26.08,31.83,7.579
10,27,7.471,26.52,31.83,7.624
10,28,7.599,27.37,31.83,7.678
10,29,7.763,27.51,31.83,7.684
11,0,2.891,2.7,28.66,0.83
11,1,3.12,2.88,28.66,1.636
11,2,3.207,3.01,28.66,2.311
11,3,3.372,3.18,28.66,2.976
11,4,3.52,3.03,28.66,3.54
11,5,3.674,3.2,28.66,4.037
11,6,3.932,3.32,28.66,4.521
11,7,3.971,3.19,28.66,4.967
11,8,4.23,3.92,28.66,5.322
11,9,4.425,4.21,28.66,5.663
11,10,4.501,4.32,28.66,5.976
11,11,4.612,4.13,28.66,6.257
11,12,4.735,4.1,28.66,6.492
11,13,4.933,4.7,28.66,6.731
11,14,4.999,4.8,28.66,6.907
11,15,5.232,4.81,28.66,7.096
11,16,5.339,5.4,28.66,7.264
11,17,5.385,5.0,28.66,7.436
11,18,5.655,5.06,28.66,7.565
11,19,5.718,5.15,28.66,7.681
11,20,5.842,4.94,28.66,7.807
11,21,5.949,5.74,28.66,7.899
11,22,6.157,5.64,28.66,7.975
11,23,6.383,5.96,28.66,8.04
11,24,6.516,6.49,28.66,8.117
11,25,6.607,5.95,28.66,8.169
11,26,6.775,5.5,28.66,8.26
11,27,6.986,6.48,28.66,8.293
11,28,6.988,6.52,28.66,8.349
11,29,7.035,6.38,28.66,8.399
12,0,1.269,7.1,32.82,1.174
12,1,1.141,7.56,32.82,1.903
12,2,1.18,7.37,32.82,2.542
12,3,1.125,7.9,32.82,3.163
12,4,1.416,8.77,32.82,3.633
12,5,1.252,8.45,32.82,4.194
12,6,1.394,9.02,32.82,4.606
12,7,1.583,8.55,32.82,4.987
12,8,1.651,9.23,32.82,5.322
12,9,1.569,10.06,32.82,5.65
12,10,1.676,10.72,32.82,5.959
12,11,1.657,10.28,32.82,6.219
12,12,1.744,11.05,32.82,6.454
12,13,1.881,11.25,32.82,6.638
12,14,1.859,11.99,32.82,6.824
12,15,1.94,11.67,32.82,7.018
12,16,1.873,12.5,32.82,7.185
12,17,2.187,12.52,32.82,7.309
12,18,2.18,13.12,32.82,7.464
12,19,2.263,13.41,32.82,7.549
12,20,2.368,13.65,32.82,7.651
12,21,2.212,14.2,32.82,7.757
12,22,2.313,14.41,32.82,7.851
12,23,2.215,14.7,32.82,7.874
12,24,2.773,14.97,32.82,7.947
12,25,2.499,15.43,32.82,8.024
12,26,2.673,15.81,32.82,8.148
12,27,2.5,15.79,32.82,8.13
12,28,2.779,16.32,32.82,8.177
12,29,2.92,16.44,32.82,8.232
13,0,0.901,8.6,31.77,1.156
13,1,0.85,8.85,31.77,1.654
13,2,0.981,9.67,31.77,2.137
13,3,0.816,10.06,31.77,2.508
13,4,1.078,9.99,31.77,2.893
13,5,1.208,10.68,31.77,3.272
13,6,1.166,11.29,31.77,3.555
13,7,1.185,11.46,31.77,3.806
13,8,1.31,11.71,31.77,4.054
13,9,1.361,12.02,31.77,4.289
13,10,1.179,13.02,31.77,4.508
13,11,1.397,13.45,31.77,4.7
13,12,1.676,13.53,31.77,4.848
13,13,1.342,14.24,31.77,5.011
13,14,1.511,13.54,31.77,5.129
13,15,1.758,15.24,31.77,5.283
13,16,1.718,15.21,31.77,5.418
13,17,1.6,15.71,31.77,5.457
13,18,1.716,15.99,31.77,5.563
13,19,1.738,16.92,31.77,5.642
13,20,1.708,16.6,31.77,5.708
13,21,1.819,17.78,31.77,5.784
13,22,1.842,17.87,31.77,5.839
13,23,1.925,18.35,31.77,5.872
13,24,1.883,18.48,31.77,5.956
13,25,1.874,18.6,31.77,5.976
13,26,2.041,19.69,31.77,6.003
13,27,2.26,19.92,31.77,6.095
13,28,2.141,20.65,31.77,6.075
13,29,2.143,20.6,31.77,6.111
14,0,3.51,5.56,30.76,1.01
14,1,3.584,6.38,30.76,1.78
14,2,3.953,6.81,30.76,2.491
14,3,3.931,6.51,30.76,3.096
14,4,4.168,6.56,30.76,3.694
14,5,4.188,7.3,30.76,4.16
14,6,4.479,7.26,30.76,4.632
14,7,4.622,7.79,30.76,5.112
14,8,4.755,7.8,30.76,5.426
14,9,4.876,8.63,30.76,5.751
14,10,5.029,8.22,30.76,6.072
14,11,5.286,8.85,30.76,6.407
14,12,5.487,8.83,30.76,6.585
14,13,5.577,9.17,30.76,6.826
14,14,5.784,9.4,30.76,7.018
14,15,5.918,10.02,30.76,7.225
14,16,6.097,10.35,30.76,7.386
14,17,6.233,10.52,30.76,7.533
14,18,6.421,10.59,30.76,7.714
14,19,6.854,10.94,30.76,7.773
14,20,6.782,11.44,30.76,7.904
14,21,6.981,11.73,30.76,8.011
14,22,7.126,10.92,30.76,8.073
14,23,7.221,11.92,30.76,8.182
14,24,7.543,12.21,30.76,8.236
14,25,7.55,12.75,30.76,8.316
14,26,7.851,12.8,30.76,8.365
14,27,7.878,13.31,30.76,8.379
14,28,7.981,13.05,30.76,8.493
14,29,8.279,13.72,30.76,8.552
15,0,3.108,10.49,34.65,0.67
15,1,3.427,10.28,34.65,1.222
15,2,3.409,11.97,34.65,1.78
15,3,3.652,12.06,34.65,2.248
15,4,3.696,12.2,34.65,2.622
15,5,4.277,12.44,34.65,2.995
15,6,3.985,13.13,34.65,3.336
15,7,4.307,13.7,34.65,3.608
15,8,4.575,14.3,34.65,3.91
15,9,4.72,15.12,34.65,4.198
15,10,4.857,15.02,34.65,4.383
15,11,4.895,15.82,34.65,4.567
15,12,5.217,15.76,34.65,4.779
15,13,5.329,16.52,34.65,4.919
15,14,5.414,17.25,34.65,5.079
15,15,5.572,17.84,34.65,5.188
15,16,5.673,17.9,34.65,5.312
15,17,5.768,18.48,34.65,5.456
15,18,6.138,19.55,34.65,5.541
15,19,6.301,19.95,34.65,5.611
15,20,6.237,20.16,34.65,5.709
15,21,6.465,19.92,34.65,5.765
15,22,6.622,21.84,34.65,5.826
15,23,6.788,21.57,34.65,5.924
15,24,6.953,21.98,34.65,5.968
15,25,7.197,22.41,34.65,6.0
15,26,7.183,23.17,34.65,6.045
15,27,7.328,23.67,34.65,6.081
15,28,7.692,24.33,34.65,6.125
15,29,7.677,24.26,34.65,6.131
16,0,1.519,12.12,29.37,1.353
16,1,1.676,13.41,29.37,1.889
16,2,1.771,13.46,29.37,2.369
16,3,2.039,13.93,29.37,2.809
16,4,2.056,14.29,29.37,3.236
16,5,2.157,15.31,29.37,3.577
16,6,2.204,16.06,29.37,3.891
16,7,2.296,16.6,29.37,4.191
16,8,2.212,16.85,29.37,4.479
16,9,2.34,17.63,29.37,4.67
16,10,2.341,18.61,29.37,4.91
16,11,2.498,19.02,29.37,5.133
16,12,2.667,19.06,29.37,5.283
16,13,2.691,19.12,29.37,5.45
16,14,2.889,20.56,29.37,5.608
16,15,2.723,21.3,29.37,5.733
16,16,2.966,21.32,29.37,5.822
16,17,2.871,22.24,29.37,5.932
16,18,3.085,22.75,29.37,6.047
16,19,3.229,23.45,29.37,6.133
16,20,3.213,23.84,29.37,6.188
16,21,3.369,24.99,29.37,6.258
16,22,3.297,25.23,29.37,6.327
16,23,3.306,25.51,29.37,6.405
16,24,3.607,26.64,29.37,6.449
16,25,3.806,26.58,29.37,6.488
16,26,3.611,27.93,29.37,6.493
16,27,3.912,28.43,29.37,6.546
16,28,3.874,29.14,29.37,6.581
16,29,3.815,29.27,29.37,6.644
17,0,2.691,11.79,22.07,0.929
17,1,2.941,12.54,22.07,1.76
17,2,3.034,13.06,22.07,2.445
17,3,3.078,13.47,22.07,3.098
17,4,3.176,14.07,22.07,3.705
17,5,3.396,14.71,22.07,4.256
17,6,3.635,15.04,22.07,4.697
17,7,3.751,16.17,22.07,5.081
17,8,3.836,16.53,22.07,5.489
17,9,4.042,17.03,22.07,5.876
17,10,4.261,17.36,22.07,6.156
17,11,4.332,17.92,22.07,6.453
17,12,4.416,19.43,22.07,6.727
17,13,4.656,19.24,22.07,6.91
17,14,4.603,20.18,22.07,7.16
17,15,4.811,20.63,22.07,7.332
17,16,4.949,20.32,22.07,7.495
17,17,4.981,22.27,22.07,7.662
17,18,5.198,22.51,22.07,7.795
17,19,5.168,22.65,22.07,7.95
17,20,5.702,23.45,22.07,8.076
17,21,5.552,23.69,22.07,8.146
17,22,5.94,25.16,22.07,8.233
17,23,5.921,24.91,22.07,8.319
17,24,6.109,25.6,22.07,8.379
17,25,6.139,26.12,22.07,8.442
17,26,6.344,26.94,22.07,8.496
17,27,6.523,27.9,22.07,8.556
17,28,6.66,28.6,22.07,8.665
17,29,6.806,28.52,22.07,8.662
18,0,0.898,5.27,24.16,1.426
18,1,0.932,5.43,24.16,2.171
18,2,0.865,5.36,24.16,2.779
18,3,1.122,6.63,24.16,3.379
18,4,1.223,6.57,24.16,3.888
18,5,1.322,6.46,24.16,4.351
18,6,1.236,7.13,24.16,4.764
18,7,1.174,7.27,24.16,5.132
18,8,1.126,7.18,24.16,5.449
18,9,1.445,7.5,24.16,5.781
18,10,1.206,8.1,24.16,6.078
18,11,1.397,7.62,24.16,6.341
18,12,1.454,8.65,24.16,6.524
18,13,1.514,8.33,24.16,6.727
18,14,1.57,9.1,24.16,6.921
18,15,1.625,8.89,24.16,7.105
18,16,1.415,9.25,24.16,7.213
18,17,1.703,9.38,24.16,7.37
18,18,1.524,9.48,24.16,7.46
18,19,1.865,9.81,24.16,7.591
18,20,1.781,10.56,24.16,7.702
18,21,1.666,9.7,24.16,7.744
18,22,1.846,10.27,24.16,7.839
18,23,1.915,10.67,24.16,7.94
18,24,2.136,10.81,24.16,7.998
18,25,2.082,11.84,24.16,8.065
18,26,2.142,12.01,24.16,8.113
18,27,2.271,12.06,24.16,8.137
18,28,2.188,11.94,24.16,8.23
18,29,2.318,12.78,24.16,8.228
19,0,2.343,4.29,31.5,1.168
19,1,2.256,5.64,31.5,2.048
19,2,2.642,5.02,31.5,2.787
19,3,2.462,5.37,31.5,3.483
19,4,2.806,5.55,31.5,4.062
19,5,2.672,5.59,31.5,4.638
19,6,2.994,6.72,31.5,5.119
19,7,3.23,6.61,31.5,5.53
19,8,3.132,6.97,31.5,5.947
19,9,3.237,6.47,31.5,6.295
19,10,3.434,7.12,31.5,6.639
19,11,3.45,7.45,31.5,6.912
19,12,3.774,7.6,31.5,7.194
19,13,3.721,7.4,31.5,7.425
19,14,3.78,8.31,31.5,7.642
19,15,3.868,8.25,31.5,7.88
19,16,3.938,8.16,31.5,8.006
19,17,4.079,8.12,31.5,8.132
19,18,4.216,9.08,31.5,8.333
19,19,4.312,9.87,31.5,8.461
19,20,4.405,9.06,31.5,8.517
19,21,4.791,9.64,31.5,8.647
19,22,4.588,10.16,31.5,8.763
19,23,4.815,9.67,31.5,8.85
19,24,4.969,10.14,31.5,8.915
19,25,5.083,10.25,31.5,8.985
19,26,5.124,11.04,31.5,9.028
19,27,5.216,11.37,31.5,9.054
19,28,5.395,11.25,31.5,9.194
19,29,5.486,11.18,31.5,9.179
20,0,0.54,11.94,36.29,0.07
20,1,0.437,12.47,36.29,0.904
20,2,0.573,12.95,36.29,1.683
20,3,0.533,13.79,36.29,2.351
20,4,0.608,14.58,36.29,2.968
20,5,0.705,15.14,36.29,3.468
20,6,0.765,15.57,36.29,4.005
20,7,0.935,16.17,36.29,4.488
20,8,0.73,16.71,36.29,4.894
20,9,0.889,16.93,36.29,5.229
20,10,0.869,17.95,36.29,5.548
20,11,0.995,18.31,36.29,5.881
20,12,0.951,18.67,36.29,6.09
20,13,0.82,19.76,36.29,6.368
20,14,0.775,20.05,36.29,6.645
20,15,1.006,20.89,36.29,6.836
20,16,0.95,21.66,36.29,6.995
20,17,0.932,21.7,36.29,7.152
20,18,0.93,22.6,36.29,7.252
20,19,1.1,22.61,36.29,7.407
20,20,1.262,24.19,36.29,7.533
20,21,1.098,23.91,36.29,7.631
20,22,1.225,24.74,36.29,7.734
20,23,1.183,25.88,36.29,7.853
20,24,1.092,25.99,36.29,7.894
20,25,1.322,26.29,36.29,7.969
20,26,1.166,27.44,36.29,8.054
20,27,1.305,28.02,36.29,8.067
20,28,1.296,28.21,36.29,8.131
20,29,1.447,28.82,36.29,8.179
21,0,1.765,6.96,18.17,0.482
21,1,2.0,7.37,18.17,1.228
21,2,1.967,7.2,18.17,1.909
21,3,2.09,8.06,18.17,2.515
21,4,1.868,8.99,18.17,3.06
21,5,2.531,8.53,18.17,3.592
21,6,2.467,8.96,18.17,4.023
21,7,2.426,9.13,18.17,4.448
21,8,2.481,10.01,18.17,4.779
21,9,2.634,10.53,18.17,5.117
21,10,2.845,10.86,18.17,5.423
21,11,2.675,10.47,18.17,5.693
21,12,2.94,11.34,18.17,5.953
21,13,3.222,11.96,18.17,6.147
21,14,3.021,12.03,18.17,6.367
21,15,3.233,12.36,18.17,6.537
21,16,3.536,12.42,18.17,6.687
21,17,3.469,12.97,18.17,6.814
21,18,3.509,13.61,18.17,6.978
21,19,3.637,13.68,18.17,7.062
21,20,3.637,13.55,18.17,7.185
21,21,3.897,14.13,18.17,7.28
21,22,3.817,14.98,18.17,7.363
21,23,3.752,15.05,18.17,7.437
21,24,3.999,15.33,18.17,7.498
21,25,4.032,15.47,18.17,7.545
21,26,4.19,16.34,18.17,7.662
21,27,4.283,16.82,18.17,7.675
21,28,4.519,17.04,18.17,7.729
21,29,4.559,17.44,18.17,7.77
22,0,0.788,4.48,20.26,0.88
22,1,0.798,4.65,20.26,1.371
22,2,0.73,4.98,20.26,1.764
22,3,0.654,5.26,20.26,2.143
22,4,0.92,5.9,20.26,2.472
22,5,1.025,6.04,20.26,2.779
22,6,0.972,6.07,20.26,3.056
22,7,0.966,5.7,20.26,3.33
22,8,1.103,5.85,20.26,3.534
22,9,1.085,6.65,20.26,3.805
22,10,1.298,7.06,20.26,3.979
22,11,1.29,6.99,20.26,4.134
22,12,1.299,7.81,20.26,4.314
22,13,1.316,7.13,20.26,4.407
22,14,1.148,7.32,20.26,4.536
22,15,1.38,7.7,20.26,4.625
22,16,1.388,7.91,20.26,4.78
22,17,1.448,8.5,20.26,4.839
22,18,1.473,8.44,20.26,4.937
22,19,1.506,8.32,20.26,5.031
22,20,1.768,9.28,20.26,5.105
22,21,1.527,8.7,20.26,5.136
22,22,1.665,9.13,20.26,5.199
22,23,1.561,9.18,20.26,5.222
22,24,1.724,9.96,20.26,5.317
22,25,1.775,10.17,20.26,5.32
22,26,1.755,10.91,20.26,5.361
22,27,1.922,10.83,20.26,5.383
22,28,1.703,11.21,20.26,5.444
22,29,1.78,11.09,20.26,5.451
23,0,2.184,9.28,37.92,1.097
23,1,2.356,10.07,37.92,1.682
23,2,2.39,10.67,37.92,2.205
23,3,2.605,11.17,37.92,2.71
23,4,2.515,11.28,37.92,3.132
23,5,2.571,12.03,37.92,3.498
