scenario_id,step,L_pile_m,D_pile_m,t_wall_m,EI_Nm2
1,24,39.014,4.337,0.0951,21143613561.0
1,25,39.014,4.337,0.0951,21143613561.0
1,26,39.014,4.337,0.0951,21143613561.0
1,27,39.014,4.337,0.0951,21143613561.0
1,28,39.014,4.337,0.0951,21143613561.0
1,29,39.014,4.337,0.0951,21143613561.0
2,0,34.64,4.647,0.0753,17080419371.0
2,1,34.64,4.647,0.0753,17080419371.0
2,2,34.64,4.647,0.0753,17080419371.0
2,3,34.64,4.647,0.0753,17080419371.0
2,4,34.64,4.647,0.0753,17080419371.0
2,5,34.64,4.647,0.0753,17080419371.0
2,6,34.64,4.647,0.0753,17080419371.0
2,7,34.64,4.647,0.0753,17080419371.0
2,8,34.64,4.647,0.0753,17080419371.0
2,9,34.64,4.647,0.0753,17080419371.0
2,10,34.64,4.647,0.0753,17080419371.0
2,11,34.64,4.647,0.0753,17080419371.0
2,12,34.64,4.647,0.0753,17080419371.0
2,13,34.64,4.647,0.0753,17080419371.0
2,14,34.64,4.647,0.0753,17080419371.0
2,15,34.64,4.647,0.0753,17080419371.0
2,16,34.64,4.647,0.0753,17080419371.0
2,17,34.64,4.647,0.0753,17080419371.0
2,18,34.64,4.647,0.0753,17080419371.0
2,19,34.64,4.647,0.0753,17080419371.0
2,20,34.64,4.647,0.0753,17080419371.0
2,21,34.64,4.647,0.0753,17080419371.0
2,22,34.64,4.647,0.0753,17080419371.0
2,23,34.64,4.647,0.0753,17080419371.0
2,24,34.64,4.647,0.0753,17080419371.0
2,25,34.64,4.647,0.0753,17080419371.0
2,26,34.64,4.647,0.0753,17080419371.0
2,27,34.64,4.647,0.0753,17080419371.0
2,28,34.64,4.647,0.0753,17080419371.0
2,29,34.64,4.647,0.0753,17080419371.0
3,0,31.973,7.594,0.0913,13548101350.0
3,1,31.973,7.594,0.0913,13548101350.0
3,2,31.973,7.594,0.0913,13548101350.0
3,3,31.973,7.594,0.0913,13548101350.0
3,4,31.973,7.594,0.0913,13548101350.0
3,5,31.973,7.594,0.0913,13548101350.0
3,6,31.973,7.594,0.0913,13548101350.0
3,7,31.973,7.594,0.0913,13548101350.0
3,8,31.973,7.594,0.0913,13548101350.0
3,9,31.973,7.594,0.0913,13548101350.0
3,10,31.973,7.594,0.0913,13548101350.0
3,11,31.973,7.594,0.0913,13548101350.0
3,12,31.973,7.594,0.0913,13548101350.0
3,13,31.973,7.594,0.0913,13548101350.0
3,14,31.973,7.594,0.0913,13548101350.0
3,15,31.973,7.594,0.0913,13548101350.0
3,16,31.973,7.594,0.0913,13548101350.0
3,17,31.973,7.594,0.0913,13548101350.0
3,18,31.973,7.594,0.0913,13548101350.0
3,19,31.973,7.594,0.0913,13548101350.0
3,20,31.973,7.594,0.0913,13548101350.0
3,21,31.973,7.594,0.0913,13548101350.0
3,22,31.973,7.594,0.0913,13548101350.0
3,23,31.973,7.594,0.0913,13548101350.0
3,24,31.973,7.594,0.0913,13548101350.0
3,25,31.973,7.594,0.0913,13548101350.0
3,26,31.973,7.594,0.0913,13548101350.0
3,27,31.973,7.594,0.0913,13548101350.0
3,28,31.973,7.594,0.0913,13548101350.0
3,29,31.973,7.594,0.0913,13548101350.0
4,0,23.12,6.426,0.066,14825434844.0
4,1,23.12,6.426,0.066,14825434844.0
4,2,23.12,6.426,0.066,14825434844.0
4,3,23.12,6.426,0.066,14825434844.0
4,4,23.12,6.426,0.066,14825434844.0
4,5,23.12,6.426,0.066,14825434844.0
4,6,23.12,6.426,0.066,14825434844.0
4,7,23.12,6.426,0.066,14825434844.0
4,8,23.12,6.426,0.066,14825434844.0
4,9,23.12,6.426,0.066,14825434844.0
4,10,23.12,6.426,0.066,14825434844.0
4,11,23.12,6.426,0.066,14825434844.0
4,12,23.12,6.426,0.066,14825434844.0
4,13,23.12,6.426,0.066,14825434844.0
4,14,23.12,6.426,0.066,14825434844.0
4,15,23.12,6.426,0.066,14825434844.0
4,16,23.12,6.426,0.066,14825434844.0
4,17,23.12,6.426,0.066,14825434844.0
4,18,23.12,6.426,0.066,14825434844.0
4,19,23.12,6.426,0.066,14825434844.0
4,20,23.12,6.426,0.066,14825434844.0
4,21,23.12,6.426,0.066,14825434844.0
4,22,23.12,6.426,0.066,14825434844.0
4,23,23.12,6.426,0.066,14825434844.0
4,24,23.12,6.426,0.066,14825434844.0
4,25,23.12,6.426,0.066,14825434844.0
4,26,23.12,6.426,0.066,14825434844.0
4,27,23.12,6.426,0.066,14825434844.0
4,28,23.12,6.426,0.066,14825434844.0
4,29,23.12,6.426,0.066,14825434844.0
5,0,23.12,4.037,0.0948,28431150721.0
5,1,23.12,4.037,0.0948,28431150721.0
5,2,23.12,4.037,0.0948,28431150721.0
5,3,23.12,4.037,0.0948,28431150721.0
5,4,23.12,4.037,0.0948,28431150721.0
5,5,23.12,4.037,0.0948,28431150721.0
5,6,23.12,4.037,0.0948,28431150721.0
5,7,23.12,4.037,0.0948,28431150721.0
5,8,23.12,4.037,0.0948,28431150721.0
5,9,23.12,4.037,0.0948,28431150721.0
5,10,23.12,4.037,0.0948,28431150721.0
5,11,23.12,4.037,0.0948,28431150721.0
5,12,23.12,4.037,0.0948,28431150721.0
5,13,23.12,4.037,0.0948,28431150721.0
5,14,23.12,4.037,0.0948,28431150721.0
5,15,23.12,4.037,0.0948,28431150721.0
5,16,23.12,4.037,0.0948,28431150721.0
5,17,23.12,4.037,0.0948,28431150721.0
5,18,23.12,4.037,0.0948,28431150721.0
5,19,23.12,4.037,0.0948,28431150721.0
5,20,23.12,4.037,0.0948,28431150721.0
5,21,23.12,4.037,0.0948,28431150721.0
5,22,23.12,4.037,0.0948,28431150721.0
5,23,23.12,4.037,0.0948,28431150721.0
5,24,23.12,4.037,0.0948,28431150721.0
5,25,23.12,4.037,0.0948,28431150721.0
5,26,23.12,4.037,0.0948,28431150721.0
5,27,23.12,4.037,0.0948,28431150721.0
5,28,23.12,4.037,0.0948,28431150721.0
5,29,23.12,4.037,0.0948,28431150721.0
6,0,21.162,4.406,0.0695,18253348736.0
6,1,21.162,4.406,0.0695,18253348736.0
6,2,21.162,4.406,0.0695,18253348736.0
6,3,21.162,4.406,0.0695,18253348736.0
6,4,21.162,4.406,0.0695,18253348736.0
6,5,21.162,4.406,0.0695,18253348736.0
6,6,21.162,4.406,0.0695,18253348736.0
6,7,21.162,4.406,0.0695,18253348736.0
6,8,21.162,4.406,0.0695,18253348736.0
6,9,21.162,4.406,0.0695,18253348736.0
6,10,21.162,4.406,0.0695,18253348736.0
6,11,21.162,4.406,0.0695,18253348736.0
6,12,21.162,4.406,0.0695,18253348736.0
6,13,21.162,4.406,0.0695,18253348736.0
6,14,21.162,4.406,0.0695,18253348736.0
6,15,21.162,4.406,0.0695,18253348736.0
6,16,21.162,4.406,0.0695,18253348736.0
6,17,21.162,4.406,0.0695,18253348736.0
6,18,21.162,4.406,0.0695,18253348736.0
6,19,21.162,4.406,0.0695,18253348736.0
6,20,21.162,4.406,0.0695,18253348736.0
6,21,21.162,4.406,0.0695,18253348736.0
6,22,21.162,4.406,0.0695,18253348736.0
6,23,21.162,4.406,0.0695,18253348736.0
6,24,21.162,4.406,0.0695,18253348736.0
6,25,21.162,4.406,0.0695,18253348736.0
6,26,21.162,4.406,0.0695,18253348736.0
6,27,21.162,4.406,0.0695,18253348736.0
6,28,21.162,4.406,0.0695,18253348736.0
6,29,21.162,4.406,0.0695,18253348736.0
7,0,37.324,6.654,0.0505,24570794442.0
7,1,37.324,6.654,0.0505,24570794442.0
7,2,37.324,6.654,0.0505,24570794442.0
7,3,37.324,6.654,0.0505,24570794442.0
7,4,37.324,6.654,0.0505,24570794442.0
7,5,37.324,6.654,0.0505,24570794442.0
7,6,37.324,6.654,0.0505,24570794442.0
7,7,37.324,6.654,0.0505,24570794442.0
7,8,37.324,6.654,0.0505,24570794442.0
7,9,37.324,6.654,0.0505,24570794442.0
7,10,37.324,6.654,0.0505,24570794442.0
7,11,37.324,6.654,0.0505,24570794442.0
7,12,37.324,6.654,0.0505,24570794442.0
7,13,37.324,6.654,0.0505,24570794442.0
7,14,37.324,6.654,0.0505,24570794442.0
7,15,37.324,6.654,0.0505,24570794442.0
7,16,37.324,6.654,0.0505,24570794442.0
7,17,37.324,6.654,0.0505,24570794442.0
7,18,37.324,6.654,0.0505,24570794442.0
7,19,37.324,6.654,0.0505,24570794442.0
7,20,37.324,6.654,0.0505,24570794442.0
7,21,37.324,6.654,0.0505,24570794442.0
7,22,37.324,6.654,0.0505,24570794442.0
7,23,37.324,6.654,0.0505,24570794442.0
7,24,37.324,6.654,0.0505,24570794442.0
7,25,37.324,6.654,0.0505,24570794442.0
7,26,37.324,6.654,0.0505,24570794442.0
7,27,37.324,6.654,0.0505,24570794442.0
7,28,37.324,6.654,0.0505,24570794442.0
7,29,37.324,6.654,0.0505,24570794442.0
8,0,32.022,4.02,0.0953,30136690834.0
8,1,32.022,4.02,0.0953,30136690834.0
8,2,32.022,4.02,0.0953,30136690834.0
8,3,32.022,4.02,0.0953,30136690834.0
8,4,32.022,4.02,0.0953,30136690834.0
8,5,32.022,4.02,0.0953,30136690834.0
8,6,32.022,4.02,0.0953,30136690834.0
8,7,32.022,4.02,0.0953,30136690834.0
8,8,32.022,4.02,0.0953,30136690834.0
8,9,32.022,4.02,0.0953,30136690834.0
8,10,32.022,4.02,0.0953,30136690834.0
8,11,32.022,4.02,0.0953,30136690834.0
8,12,32.022,4.02,0.0953,30136690834.0
8,13,32.022,4.02,0.0953,30136690834.0
8,14,32.022,4.02,0.0953,30136690834.0
8,15,32.022,4.02,0.0953,30136690834.0
8,16,32.022,4.02,0.0953,30136690834.0
8,17,32.022,4.02,0.0953,30136690834.0
8,18,32.022,4.02,0.0953,30136690834.0
8,19,32.022,4.02,0.0953,30136690834.0
8,20,32.022,4.02,0.0953,30136690834.0
8,21,32.022,4.02,0.0953,30136690834.0
8,22,32.022,4.02,0.0953,30136690834.0
8,23,32.022,4.02,0.0953,30136690834.0
8,24,32.022,4.02,0.0953,30136690834.0
8,25,32.022,4.02,0.0953,30136690834.0
8,26,32.022,4.02,0.0953,30136690834.0
8,27,32.022,4.02,0.0953,30136690834.0
8,28,32.022,4.02,0.0953,30136690834.0
8,29,32.022,4.02,0.0953,30136690834.0
9,0,34.161,4.643,0.0546,37615793145.0
9,1,34.161,4.643,0.0546,37615793145.0
9,2,34.161,4.643,0.0546,37615793145.0
9,3,34.161,4.643,0.0546,37615793145.0
9,4,34.161,4.643,0.0546,37615793145.0
9,5,34.161,4.643,0.0546,37615793145.0
9,6,34.161,4.643,0.0546,37615793145.0
9,7,34.161,4.643,0.0546,37615793145.0
9,8,34.161,4.643,0.0546,37615793145.0
9,9,34.161,4.643,0.0546,37615793145.0
9,10,34.161,4.643,0.0546,37615793145.0
9,11,34.161,4.643,0.0546,37615793145.0
9,12,34.161,4.643,0.0546,37615793145.0
9,13,34.161,4.643,0.0546,37615793145.0
9,14,34.161,4.643,0.0546,37615793145.0
9,15,34.161,4.643,0.0546,37615793145.0
9,16,34.161,4.643,0.0546,37615793145.0
9,17,34.161,4.643,0.0546,37615793145.0
9,18,34.161,4.643,0.0546,37615793145.0
9,19,34.161,4.643,0.0546,37615793145.0
9,20,34.161,4.643,0.0546,37615793145.0
9,21,34.161,4.643,0.0546,37615793145.0
9,22,34.161,4.643,0.0546,37615793145.0
9,23,34.161,4.643,0.0546,37615793145.0
9,24,34.161,4.643,0.0546,37615793145.0
9,25,34.161,4.643,0.0546,37615793145.0
9,26,34.161,4.643,0.0546,37615793145.0
9,27,34.161,4.643,0.0546,37615793145.0
9,28,34.161,4.643,0.0546,37615793145.0
9,29,34.161,4.643,0.0546,37615793145.0
10,0,20.412,6.195,0.066,11572485594.0
10,1,20.412,6.195,0.066,11572485594.0
10,2,20.412,6.195,0.066,11572485594.0
10,3,20.412,6.195,0.066,11572485594.0
10,4,20.412,6.195,0.066,11572485594.0
10,5,20.412,6.195,0.066,11572485594.0
10,6,20.412,6.195,0.066,11572485594.0
10,7,20.412,6.195,0.066,11572485594.0
10,8,20.412,6.195,0.066,11572485594.0
10,9,20.412,6.195,0.066,11572485594.0
10,10,20.412,6.195,0.066,11572485594.0
10,11,20.412,6.195,0.066,11572485594.0
10,12,20.412,6.195,0.066,11572485594.0
10,13,20.412,6.195,0.066,11572485594.0
10,14,20.412,6.195,0.066,11572485594.0
10,15,20.412,6.195,0.066,11572485594.0
10,16,20.412,6.195,0.066,11572485594.0
10,17,20.412,6.195,0.066,11572485594.0
10,18,20.412,6.195,0.066,11572485594.0
10,19,20.412,6.195,0.066,11572485594.0
10,20,20.412,6.195,0.066,11572485594.0
10,21,20.412,6.195,0.066,11572485594.0
10,22,20.412,6.195,0.066,11572485594.0
10,23,20.412,6.195,0.066,11572485594.0
10,24,20.412,6.195,0.066,11572485594.0
10,25,20.412,6.195,0.066,11572485594.0
10,26,20.412,6.195,0.066,11572485594.0
10,27,20.412,6.195,0.066,11572485594.0
10,28,20.412,6.195,0.066,11572485594.0
10,29,20.412,6.195,0.066,11572485594.0
11,0,39.398,6.768,0.0975,41976415956.0
11,1,39.398,6.768,0.0975,41976415956.0
11,2,39.398,6.768,0.0975,41976415956.0
11,3,39.398,6.768,0.0975,41976415956.0
11,4,39.398,6.768,0.0975,41976415956.0
11,5,39.398,6.768,0.0975,41976415956.0
11,6,39.398,6.768,0.0975,41976415956.0
11,7,39.398,6.768,0.0975,41976415956.0
11,8,39.398,6.768,0.0975,41976415956.0
11,9,39.398,6.768,0.0975,41976415956.0
11,10,39.398,6.768,0.0975,41976415956.0
11,11,39.398,6.768,0.0975,41976415956.0
11,12,39.398,6.768,0.0975,41976415956.0
11,13,39.398,6.768,0.0975,41976415956.0
11,14,39.398,6.768,0.0975,41976415956.0
11,15,39.398,6.768,0.0975,41976415956.0
11,16,39.398,6.768,0.0975,41976415956.0
11,17,39.398,6.768,0.0975,41976415956.0
11,18,39.398,6.768,0.0975,41976415956.0
11,19,39.398,6.768,0.0975,41976415956.0
11,20,39.398,6.768,0.0975,41976415956.0
11,21,39.398,6.768,0.0975,41976415956.0
11,22,39.398,6.768,0.0975,41976415956.0
11,23,39.398,6.768,0.0975,41976415956.0
11,24,39.398,6.768,0.0975,41976415956.0
11,25,39.398,6.768,0.0975,41976415956.0
11,26,39.398,6.768,0.0975,41976415956.0
11,27,39.398,6.768,0.0975,41976415956.0
11,28,39.398,6.768,0.0975,41976415956.0
11,29,39.398,6.768,0.0975,41976415956.0
12,0,36.649,6.608,0.0975,35116015580.0
12,1,36.649,6.608,0.0975,35116015580.0
12,2,36.649,6.608,0.0975,35116015580.0
12,3,36.649,6.608,0.0975,35116015580.0
12,4,36.649,6.608,0.0975,35116015580.0
12,5,36.649,6.608,0.0975,35116015580.0
12,6,36.649,6.608,0.0975,35116015580.0
12,7,36.649,6.608,0.0975,35116015580.0
12,8,36.649,6.608,0.0975,35116015580.0
12,9,36.649,6.608,0.0975,35116015580.0
12,10,36.649,6.608,0.0975,35116015580.0
12,11,36.649,6.608,0.0975,35116015580.0
12,12,36.649,6.608,0.0975,35116015580.0
12,13,36.649,6.608,0.0975,35116015580.0
12,14,36.649,6.608,0.0975,35116015580.0
12,15,36.649,6.608,0.0975,35116015580.0
12,16,36.649,6.608,0.0975,35116015580.0
12,17,36.649,6.608,0.0975,35116015580.0
12,18,36.649,6.608,0.0975,35116015580.0
12,19,36.649,6.608,0.0975,35116015580.0
12,20,36.649,6.608,0.0975,35116015580.0
12,21,36.649,6.608,0.0975,35116015580.0
12,22,36.649,6.608,0.0975,35116015580.0
12,23,36.649,6.608,0.0975,35116015580.0
12,24,36.649,6.608,0.0975,35116015580.0
12,25,36.649,6.608,0.0975,35116015580.0
12,26,36.649,6.608,0.0975,35116015580.0
12,27,36.649,6.608,0.0975,35116015580.0
12,28,36.649,6.608,0.0975,35116015580.0
12,29,36.649,6.608,0.0975,35116015580.0
13,0,24.247,4.897,0.0787,13270361278.0
13,1,24.247,4.897,0.0787,13270361278.0
13,2,24.247,4.897,0.0787,13270361278.0
13,3,24.247,4.897,0.0787,13270361278.0
13,4,24.247,4.897,0.0787,13270361278.0
13,5,24.247,4.897,0.0787,13270361278.0
13,6,24.247,4.897,0.0787,13270361278.0
13,7,24.247,4.897,0.0787,13270361278.0
13,8,24.247,4.897,0.0787,13270361278.0
13,9,24.247,4.897,0.0787,13270361278.0
13,10,24.247,4.897,0.0787,13270361278.0
13,11,24.247,4.897,0.0787,13270361278.0
13,12,24.247,4.897,0.0787,13270361278.0
13,13,24.247,4.897,0.0787,13270361278.0
13,14,24.247,4.897,0.0787,13270361278.0
13,15,24.247,4.897,0.0787,13270361278.0
13,16,24.247,4.897,0.0787,13270361278.0
13,17,24.247,4.897,0.0787,13270361278.0
13,18,24.247,4.897,0.0787,13270361278.0
13,19,24.247,4.897,0.0787,13270361278.0
13,20,24.247,4.897,0.0787,13270361278.0
13,21,24.247,4.897,0.0787,13270361278.0
13,22,24.247,4.897,0.0787,13270361278.0
13,23,24.247,4.897,0.0787,13270361278.0
13,24,24.247,4.897,0.0787,13270361278.0
13,25,24.247,4.897,0.0787,13270361278.0
13,26,24.247,4.897,0.0787,13270361278.0
13,27,24.247,4.897,0.0787,13270361278.0
13,28,24.247,4.897,0.0787,13270361278.0
13,29,24.247,4.897,0.0787,13270361278.0
14,0,23.636,6.849,0.0816,44943144964.0
14,1,23.636,6.849,0.0816,44943144964.0
14,2,23.636,6.849,0.0816,44943144964.0
14,3,23.636,6.849,0.0816,44943144964.0
14,4,23.636,6.849,0.0816,44943144964.0
14,5,23.636,6.849,0.0816,44943144964.0
14,6,23.636,6.849,0.0816,44943144964.0
14,7,23.636,6.849,0.0816,44943144964.0
14,8,23.636,6.849,0.0816,44943144964.0
14,9,23.636,6.849,0.0816,44943144964.0
14,10,23.636,6.849,0.0816,44943144964.0
14,11,23.636,6.849,0.0816,44943144964.0
14,12,23.636,6.849,0.0816,44943144964.0
14,13,23.636,6.849,0.0816,44943144964.0
14,14,23.636,6.849,0.0816,44943144964.0
14,15,23.636,6.849,0.0816,44943144964.0
14,16,23.636,6.849,0.0816,44943144964.0
14,17,23.636,6.849,0.0816,44943144964.0
14,18,23.636,6.849,0.0816,44943144964.0
14,19,23.636,6.849,0.0816,44943144964.0
14,20,23.636,6.849,0.0816,44943144964.0
14,21,23.636,6.849,0.0816,44943144964.0
14,22,23.636,6.849,0.0816,44943144964.0
14,23,23.636,6.849,0.0816,44943144964.0
14,24,23.636,6.849,0.0816,44943144964.0
14,25,23.636,6.849,0.0816,44943144964.0
14,26,23.636,6.849,0.0816,44943144964.0
14,27,23.636,6.849,0.0816,44943144964.0
14,28,23.636,6.849,0.0816,44943144964.0
14,29,23.636,6.849,0.0816,44943144964.0
15,0,23.668,4.949,0.0724,46834896021.0
15,1,23.668,4.949,0.0724,46834896021.0
15,2,23.668,4.949,0.0724,46834896021.0
15,3,23.668,4.949,0.0724,46834896021.0
15,4,23.668,4.949,0.0724,46834896021.0
15,5,23.668,4.949,0.0724,46834896021.0
15,6,23.668,4.949,0.0724,46834896021.0
15,7,23.668,4.949,0.0724,46834896021.0
15,8,23.668,4.949,0.0724,46834896021.0
15,9,23.668,4.949,0.0724,46834896021.0
15,10,23.668,4.949,0.0724,46834896021.0
15,11,23.668,4.949,0.0724,46834896021.0
15,12,23.668,4.949,0.0724,46834896021.0
15,13,23.668,4.949,0.0724,46834896021.0
15,14,23.668,4.949,0.0724,46834896021.0
15,15,23.668,4.949,0.0724,46834896021.0
15,16,23.668,4.949,0.0724,46834896021.0
15,17,23.668,4.949,0.0724,46834896021.0
15,18,23.668,4.949,0.0724,46834896021.0
15,19,23.668,4.949,0.0724,46834896021.0
15,20,23.668,4.949,0.0724,46834896021.0
15,21,23.668,4.949,0.0724,46834896021.0
15,22,23.668,4.949,0.0724,46834896021.0
15,23,23.668,4.949,0.0724,46834896021.0
15,24,23.668,4.949,0.0724,46834896021.0
15,25,23.668,4.949,0.0724,46834896021.0
15,26,23.668,4.949,0.0724,46834896021.0
15,27,23.668,4.949,0.0724,46834896021.0
15,28,23.668,4.949,0.0724,46834896021.0
15,29,23.668,4.949,0.0724,46834896021.0
16,0,26.085,5.302,0.0647,12443118394.0
16,1,26.085,5.302,0.0647,12443118394.0
16,2,26.085,5.302,0.0647,12443118394.0
16,3,26.085,5.302,0.0647,12443118394.0
16,4,26.085,5.302,0.0647,12443118394.0
16,5,26.085,5.302,0.0647,12443118394.0
16,6,26.085,5.302,0.0647,12443118394.0
16,7,26.085,5.302,0.0647,12443118394.0
16,8,26.085,5.302,0.0647,12443118394.0
16,9,26.085,5.302,0.0647,12443118394.0
16,10,26.085,5.302,0.0647,12443118394.0
16,11,26.085,5.302,0.0647,12443118394.0
16,12,26.085,5.302,0.0647,12443118394.0
16,13,26.085,5.302,0.0647,12443118394.0
16,14,26.085,5.302,0.0647,12443118394.0
16,15,26.085,5.302,0.0647,12443118394.0
16,16,26.085,5.302,0.0647,12443118394.0
16,17,26.085,5.302,0.0647,12443118394.0
16,18,26.085,5.302,0.0647,12443118394.0
16,19,26.085,5.302,0.0647,12443118394.0
16,20,26.085,5.302,0.0647,12443118394.0
16,21,26.085,5.302,0.0647,12443118394.0
16,22,26.085,5.302,0.0647,12443118394.0
16,23,26.085,5.302,0.0647,12443118394.0
16,24,26.085,5.302,0.0647,12443118394.0
16,25,26.085,5.302,0.0647,12443118394.0
16,26,26.085,5.302,0.0647,12443118394.0
16,27,26.085,5.302,0.0647,12443118394.0
16,28,26.085,5.302,0.0647,12443118394.0
16,29,26.085,5.302,0.0647,12443118394.0
17,0,30.495,6.986,0.0664,21075105926.0
17,1,30.495,6.986,0.0664,21075105926.0
17,2,30.495,6.986,0.0664,21075105926.0
17,3,30.495,6.986,0.0664,21075105926.0
17,4,30.495,6.986,0.0664,21075105926.0
17,5,30.495,6.986,0.0664,21075105926.0
17,6,30.495,6.986,0.0664,21075105926.0
17,7,30.495,6.986,0.0664,21075105926.0
17,8,30.495,6.986,0.0664,21075105926.0
17,9,30.495,6.986,0.0664,21075105926.0
17,10,30.495,6.986,0.0664,21075105926.0
17,11,30.495,6.986,0.0664,21075105926.0
17,12,30.495,6.986,0.0664,21075105926.0
17,13,30.495,6.986,0.0664,21075105926.0
17,14,30.495,6.986,0.0664,21075105926.0
17,15,30.495,6.986,0.0664,21075105926.0
17,16,30.495,6.986,0.0664,21075105926.0
17,17,30.495,6.986,0.0664,21075105926.0
17,18,30.495,6.986,0.0664,21075105926.0
17,19,30.495,6.986,0.0664,21075105926.0
17,20,30.495,6.986,0.0664,21075105926.0
17,21,30.495,6.986,0.0664,21075105926.0
17,22,30.495,6.986,0.0664,21075105926.0
17,23,30.495,6.986,0.0664,21075105926.0
17,24,30.495,6.986,0.0664,21075105926.0
17,25,30.495,6.986,0.0664,21075105926.0
17,26,30.495,6.986,0.0664,21075105926.0
17,27,30.495,6.986,0.0664,21075105926.0
17,28,30.495,6.986,0.0664,21075105926.0
17,29,30.495,6.986,0.0664,21075105926.0
18,0,28.639,6.599,0.0836,42248051192.0
18,1,28.639,6.599,0.0836,42248051192.0
18,2,28.639,6.599,0.0836,42248051192.0
18,3,28.639,6.599,0.0836,42248051192.0
18,4,28.639,6.599,0.0836,42248051192.0
18,5,28.639,6.599,0.0836,42248051192.0
18,6,28.639,6.599,0.0836,42248051192.0
18,7,28.639,6.599,0.0836,42248051192.0
18,8,28.639,6.599,0.0836,42248051192.0
18,9,28.639,6.599,0.0836,42248051192.0
18,10,28.639,6.599,0.0836,42248051192.0
18,11,28.639,6.599,0.0836,42248051192.0
18,12,28.639,6.599,0.0836,42248051192.0
18,13,28.639,6.599,0.0836,42248051192.0
18,14,28.639,6.599,0.0836,42248051192.0
18,15,28.639,6.599,0.0836,42248051192.0
18,16,28.639,6.599,0.0836,42248051192.0
18,17,28.639,6.599,0.0836,42248051192.0
18,18,28.639,6.599,0.0836,42248051192.0
18,19,28.639,6.599,0.0836,42248051192.0
18,20,28.639,6.599,0.0836,42248051192.0
18,21,28.639,6.599,0.0836,42248051192.0
18,22,28.639,6.599,0.0836,42248051192.0
18,23,28.639,6.599,0.0836,42248051192.0
18,24,28.639,6.599,0.0836,42248051192.0
18,25,28.639,6.599,0.0836,42248051192.0
18,26,28.639,6.599,0.0836,42248051192.0
18,27,28.639,6.599,0.0836,42248051192.0
18,28,28.639,6.599,0.0836,42248051192.0
18,29,28.639,6.599,0.0836,42248051192.0
19,0,25.825,7.397,0.0876,39930387615.0
19,1,25.825,7.397,0.0876,39930387615.0
19,2,25.825,7.397,0.0876,39930387615.0
19,3,25.825,7.397,0.0876,39930387615.0
19,4,25.825,7.397,0.0876,39930387615.0
19,5,25.825,7.397,0.0876,39930387615.0
19,6,25.825,7.397,0.0876,39930387615.0
19,7,25.825,7.397,0.0876,39930387615.0
19,8,25.825,7.397,0.0876,39930387615.0
19,9,25.825,7.397,0.0876,39930387615.0
19,10,25.825,7.397,0.0876,39930387615.0
19,11,25.825,7.397,0.0876,39930387615.0
