scenario_id,step,Su_kPa,G0_kPa,void_ratio,OCR
4,12,64.68,68393.7,0.842,5.65
4,13,63.48,68393.7,0.842,5.65
4,14,62.9,68393.7,0.842,5.65
4,15,63.4,68393.7,0.842,5.65
4,16,62.23,68393.7,0.842,5.65
4,17,63.09,68393.7,0.842,5.65
4,18,62.16,68393.7,0.842,5.65
4,19,61.23,68393.7,0.842,5.65
4,20,62.2,68393.7,0.842,5.65
4,21,60.46,68393.7,0.842,5.65
4,22,60.79,68393.7,0.842,5.65
4,23,60.21,68393.7,0.842,5.65
4,24,60.36,68393.7,0.842,5.65
4,25,60.14,68393.7,0.842,5.65
4,26,59.02,68393.7,0.842,5.65
4,27,58.27,68393.7,0.842,5.65
4,28,58.53,68393.7,0.842,5.65
4,29,57.61,68393.7,0.842,5.65
5,0,97.29,59527.0,1.039,4.32
5,1,95.85,59527.0,1.039,4.32
5,2,95.1,59527.0,1.039,4.32
5,3,94.88,59527.0,1.039,4.32
5,4,93.61,59527.0,1.039,4.32
5,5,93.3,59527.0,1.039,4.32
5,6,93.89,59527.0,1.039,4.32
5,7,92.47,59527.0,1.039,4.32
5,8,91.77,59527.0,1.039,4.32
5,9,92.07,59527.0,1.039,4.32
5,10,91.89,59527.0,1.039,4.32
5,11,91.16,59527.0,1.039,4.32
5,12,90.8,59527.0,1.039,4.32
5,13,89.43,59527.0,1.039,4.32
5,14,88.6,59527.0,1.039,4.32
5,15,89.56,59527.0,1.039,4.32
5,16,88.15,59527.0,1.039,4.32
5,17,87.69,59527.0,1.039,4.32
5,18,87.98,59527.0,1.039,4.32
5,19,87.1,59527.0,1.039,4.32
5,20,86.55,59527.0,1.039,4.32
5,21,86.9,59527.0,1.039,4.32
5,22,85.0,59527.0,1.039,4.32
5,23,85.29,59527.0,1.039,4.32
5,24,84.36,59527.0,1.039,4.32
5,25,83.96,59527.0,1.039,4.32
5,26,84.1,59527.0,1.039,4.32
5,27,83.09,59527.0,1.039,4.32
5,28,82.61,59527.0,1.039,4.32
5,29,82.37,59527.0,1.039,4.32
6,0,113.91,61536.6,0.978,6.91
6,1,113.08,61536.6,0.978,6.91
6,2,112.39,61536.6,0.978,6.91
6,3,111.34,61536.6,0.978,6.91
6,4,112.76,61536.6,0.978,6.91
6,5,110.59,61536.6,0.978,6.91
6,6,110.44,61536.6,0.978,6.91
6,7,109.82,61536.6,0.978,6.91
6,8,109.53,61536.6,0.978,6.91
6,9,109.19,61536.6,0.978,6.91
6,10,108.62,61536.6,0.978,6.91
6,11,107.31,61536.6,0.978,6.91
6,12,106.93,61536.6,0.978,6.91
6,13,106.56,61536.6,0.978,6.91
6,14,105.71,61536.6,0.978,6.91
6,15,106.04,61536.6,0.978,6.91
6,16,104.9,61536.6,0.978,6.91
6,17,104.43,61536.6,0.978,6.91
6,18,103.8,61536.6,0.978,6.91
6,19,103.47,61536.6,0.978,6.91
6,20,102.38,61536.6,0.978,6.91
6,21,101.05,61536.6,0.978,6.91
6,22,101.31,61536.6,0.978,6.91
6,23,100.19,61536.6,0.978,6.91
6,24,99.67,61536.6,0.978,6.91
6,25,99.63,61536.6,0.978,6.91
6,26,99.37,61536.6,0.978,6.91
6,27,98.17,61536.6,0.978,6.91
6,28,97.72,61536.6,0.978,6.91
6,29,97.83,61536.6,0.978,6.91
7,0,113.42,70951.7,0.812,6.64
7,1,114.02,70951.7,0.812,6.64
7,2,112.41,70951.7,0.812,6.64
7,3,110.66,70951.7,0.812,6.64
7,4,111.33,70951.7,0.812,6.64
7,5,110.56,70951.7,0.812,6.64
7,6,110.43,70951.7,0.812,6.64
7,7,109.54,70951.7,0.812,6.64
7,8,108.54,70951.7,0.812,6.64
7,9,107.41,70951.7,0.812,6.64
7,10,107.34,70951.7,0.812,6.64
7,11,106.43,70951.7,0.812,6.64
7,12,105.98,70951.7,0.812,6.64
7,13,105.98,70951.7,0.812,6.64
7,14,105.93,70951.7,0.812,6.64
7,15,104.71,70951.7,0.812,6.64
7,16,103.33,70951.7,0.812,6.64
7,17,103.56,70951.7,0.812,6.64
7,18,103.35,70951.7,0.812,6.64
7,19,101.86,70951.7,0.812,6.64
7,20,101.51,70951.7,0.812,6.64
7,21,101.0,70951.7,0.812,6.64
7,22,100.02,70951.7,0.812,6.64
7,23,100.15,70951.7,0.812,6.64
7,24,99.18,70951.7,0.812,6.64
7,25,98.86,70951.7,0.812,6.64
7,26,97.62,70951.7,0.812,6.64
7,27,97.26,70951.7,0.812,6.64
7,28,97.25,70951.7,0.812,6.64
7,29,96.12,70951.7,0.812,6.64
8,0,71.44,34980.1,0.692,5.1
8,1,70.01,34980.1,0.692,5.1
8,2,69.96,34980.1,0.692,5.1
8,3,69.95,34980.1,0.692,5.1
8,4,68.41,34980.1,0.692,5.1
8,5,67.87,34980.1,0.692,5.1
8,6,67.62,34980.1,0.692,5.1
8,7,68.65,34980.1,0.692,5.1
8,8,67.38,34980.1,0.692,5.1
8,9,68.57,34980.1,0.692,5.1
8,10,66.64,34980.1,0.692,5.1
8,11,66.65,34980.1,0.692,5.1
8,12,66.97,34980.1,0.692,5.1
8,13,66.83,34980.1,0.692,5.1
8,14,66.5,34980.1,0.692,5.1
8,15,65.7,34980.1,0.692,5.1
8,16,65.25,34980.1,0.692,5.1
8,17,64.67,34980.1,0.692,5.1
8,18,64.39,34980.1,0.692,5.1
8,19,63.36,34980.1,0.692,5.1
8,20,62.87,34980.1,0.692,5.1
8,21,62.91,34980.1,0.692,5.1
8,22,62.46,34980.1,0.692,5.1
8,23,61.95,34980.1,0.692,5.1
8,24,62.16,34980.1,0.692,5.1
8,25,61.93,34980.1,0.692,5.1
8,26,61.13,34980.1,0.692,5.1
8,27,61.46,34980.1,0.692,5.1
8,28,59.78,34980.1,0.692,5.1
8,29,59.89,34980.1,0.692,5.1
9,0,39.83,49365.5,1.198,7.08
9,1,39.05,49365.5,1.198,7.08
9,2,39.73,49365.5,1.198,7.08
9,3,39.51,49365.5,1.198,7.08
9,4,40.12,49365.5,1.198,7.08
9,5,39.47,49365.5,1.198,7.08
9,6,38.43,49365.5,1.198,7.08
9,7,39.66,49365.5,1.198,7.08
9,8,39.14,49365.5,1.198,7.08
9,9,38.61,49365.5,1.198,7.08
9,10,38.0,49365.5,1.198,7.08
9,11,37.42,49365.5,1.198,7.08
9,12,37.51,49365.5,1.198,7.08
9,13,38.03,49365.5,1.198,7.08
9,14,38.22,49365.5,1.198,7.08
9,15,37.84,49365.5,1.198,7.08
9,16,36.62,49365.5,1.198,7.08
9,17,36.1,49365.5,1.198,7.08
9,18,36.52,49365.5,1.198,7.08
9,19,35.36,49365.5,1.198,7.08
9,20,36.2,49365.5,1.198,7.08
9,21,35.75,49365.5,1.198,7.08
9,22,35.38,49365.5,1.198,7.08
9,23,34.61,49365.5,1.198,7.08
9,24,35.46,49365.5,1.198,7.08
9,25,34.73,49365.5,1.198,7.08
9,26,34.2,49365.5,1.198,7.08
9,27,33.14,49365.5,1.198,7.08
9,28,34.36,49365.5,1.198,7.08
9,29,35.05,49365.5,1.198,7.08
10,0,119.47,33272.6,0.798,2.44
10,1,117.79,33272.6,0.798,2.44
10,2,117.11,33272.6,0.798,2.44
10,3,117.03,33272.6,0.798,2.44
10,4,115.68,33272.6,0.798,2.44
10,5,115.72,33272.6,0.798,2.44
10,6,115.34,33272.6,0.798,2.44
10,7,114.95,33272.6,0.798,2.44
10,8,113.68,33272.6,0.798,2.44
10,9,113.01,33272.6,0.798,2.44
10,10,112.06,33272.6,0.798,2.44
10,11,111.47,33272.6,0.798,2.44
10,12,111.16,33272.6,0.798,2.44
10,13,110.84,33272.6,0.798,2.44
10,14,110.5,33272.6,0.798,2.44
10,15,109.03,33272.6,0.798,2.44
10,16,109.56,33272.6,0.798,2.44
10,17,108.07,33272.6,0.798,2.44
10,18,107.58,33272.6,0.798,2.44
10,19,106.6,33272.6,0.798,2.44
10,20,105.15,33272.6,0.798,2.44
10,21,106.19,33272.6,0.798,2.44
10,22,105.5,33272.6,0.798,2.44
10,23,104.38,33272.6,0.798,2.44
10,24,103.94,33272.6,0.798,2.44
10,25,103.55,33272.6,0.798,2.44
10,26,101.9,33272.6,0.798,2.44
10,27,101.8,33272.6,0.798,2.44
10,28,101.85,33272.6,0.798,2.44
10,29,100.21,33272.6,0.798,2.44
11,0,105.65,79260.1,0.816,1.78
11,1,104.28,79260.1,0.816,1.78
11,2,104.64,79260.1,0.816,1.78
11,3,103.85,79260.1,0.816,1.78
11,4,102.51,79260.1,0.816,1.78
11,5,103.35,79260.1,0.816,1.78
11,6,101.86,79260.1,0.816,1.78
11,7,101.28,79260.1,0.816,1.78
11,8,101.24,79260.1,0.816,1.78
11,9,101.16,79260.1,0.816,1.78
11,10,99.54,79260.1,0.816,1.78
11,11,99.53,79260.1,0.816,1.78
11,12,99.17,79260.1,0.816,1.78
11,13,98.75,79260.1,0.816,1.78
11,14,97.95,79260.1,0.816,1.78
11,15,97.13,79260.1,0.816,1.78
11,16,96.36,79260.1,0.816,1.78
11,17,96.27,79260.1,0.816,1.78
11,18,95.14,79260.1,0.816,1.78
11,19,93.67,79260.1,0.816,1.78
11,20,94.81,79260.1,0.816,1.78
11,21,94.49,79260.1,0.816,1.78
11,22,92.31,79260.1,0.816,1.78
11,23,92.45,79260.1,0.816,1.78
11,24,92.71,79260.1,0.816,1.78
11,25,92.89,79260.1,0.816,1.78
11,26,91.32,79260.1,0.816,1.78
11,27,90.4,79260.1,0.816,1.78
11,28,90.13,79260.1,0.816,1.78
11,29,90.36,79260.1,0.816,1.78
12,0,40.9,76643.6,0.615,2.89
12,1,40.61,76643.6,0.615,2.89
12,2,40.55,76643.6,0.615,2.89
12,3,40.1,76643.6,0.615,2.89
12,4,40.43,76643.6,0.615,2.89
12,5,40.97,76643.6,0.615,2.89
12,6,40.1,76643.6,0.615,2.89
12,7,39.6,76643.6,0.615,2.89
12,8,39.37,76643.6,0.615,2.89
12,9,38.52,76643.6,0.615,2.89
12,10,39.53,76643.6,0.615,2.89
12,11,38.84,76643.6,0.615,2.89
12,12,38.57,76643.6,0.615,2.89
12,13,40.04,76643.6,0.615,2.89
12,14,38.38,76643.6,0.615,2.89
12,15,37.65,76643.6,0.615,2.89
12,16,37.6,76643.6,0.615,2.89
12,17,38.17,76643.6,0.615,2.89
12,18,37.44,76643.6,0.615,2.89
12,19,36.45,76643.6,0.615,2.89
12,20,37.42,76643.6,0.615,2.89
12,21,36.41,76643.6,0.615,2.89
12,22,37.47,76643.6,0.615,2.89
12,23,36.86,76643.6,0.615,2.89
12,24,35.88,76643.6,0.615,2.89
12,25,36.53,76643.6,0.615,2.89
12,26,35.71,76643.6,0.615,2.89
12,27,35.89,76643.6,0.615,2.89
12,28,35.49,76643.6,0.615,2.89
12,29,34.61,76643.6,0.615,2.89
13,0,112.55,22365.6,1.056,1.4
13,1,112.81,22365.6,1.056,1.4
13,2,111.54,22365.6,1.056,1.4
13,3,110.92,22365.6,1.056,1.4
13,4,110.06,22365.6,1.056,1.4
13,5,110.17,22365.6,1.056,1.4
13,6,110.4,22365.6,1.056,1.4
13,7,108.26,22365.6,1.056,1.4
13,8,108.22,22365.6,1.056,1.4
13,9,108.33,22365.6,1.056,1.4
13,10,107.0,22365.6,1.056,1.4
13,11,106.68,22365.6,1.056,1.4
13,12,105.34,22365.6,1.056,1.4
13,13,105.5,22365.6,1.056,1.4
13,14,104.61,22365.6,1.056,1.4
13,15,104.61,22365.6,1.056,1.4
13,16,104.13,22365.6,1.056,1.4
13,17,104.25,22365.6,1.056,1.4
13,18,102.66,22365.6,1.056,1.4
13,19,101.95,22365.6,1.056,1.4
13,20,101.3,22365.6,1.056,1.4
13,21,100.44,22365.6,1.056,1.4
13,22,100.2,22365.6,1.056,1.4
13,23,99.3,22365.6,1.056,1.4
13,24,98.95,22365.6,1.056,1.4
13,25,98.94,22365.6,1.056,1.4
13,26,97.19,22365.6,1.056,1.4
13,27,97.68,22365.6,1.056,1.4
13,28,97.19,22365.6,1.056,1.4
13,29,95.89,22365.6,1.056,1.4
14,0,107.23,62334.5,0.986,4.72
14,1,107.43,62334.5,0.986,4.72
14,2,107.82,62334.5,0.986,4.72
14,3,106.6,62334.5,0.986,4.72
14,4,105.55,62334.5,0.986,4.72
14,5,105.24,62334.5,0.986,4.72
14,6,105.35,62334.5,0.986,4.72
14,7,104.64,62334.5,0.986,4.72
14,8,103.69,62334.5,0.986,4.72
14,9,103.07,62334.5,0.986,4.72
14,10,102.49,62334.5,0.986,4.72
14,11,101.67,62334.5,0.986,4.72
14,12,102.38,62334.5,0.986,4.72
14,13,100.85,62334.5,0.986,4.72
14,14,101.06,62334.5,0.986,4.72
14,15,100.65,62334.5,0.986,4.72
14,16,99.83,62334.5,0.986,4.72
14,17,98.55,62334.5,0.986,4.72
14,18,98.41,62334.5,0.986,4.72
14,19,97.64,62334.5,0.986,4.72
14,20,96.64,62334.5,0.986,4.72
14,21,96.69,62334.5,0.986,4.72
14,22,95.38,62334.5,0.986,4.72
14,23,96.0,62334.5,0.986,4.72
14,24,94.62,62334.5,0.986,4.72
14,25,94.39,62334.5,0.986,4.72
14,26,93.87,62334.5,0.986,4.72
14,27,93.04,62334.5,0.986,4.72
14,28,92.9,62334.5,0.986,4.72
14,29,91.81,62334.5,0.986,4.72
15,0,77.13,75514.9,0.655,7.56
15,1,75.63,75514.9,0.655,7.56
15,2,75.97,75514.9,0.655,7.56
15,3,76.47,75514.9,0.655,7.56
15,4,74.61,75514.9,0.655,7.56
15,5,74.37,75514.9,0.655,7.56
15,6,74.57,75514.9,0.655,7.56
15,7,74.01,75514.9,0.655,7.56
15,8,73.7,75514.9,0.655,7.56
15,9,73.37,75514.9,0.655,7.56
15,10,73.05,75514.9,0.655,7.56
15,11,72.89,75514.9,0.655,7.56
15,12,72.14,75514.9,0.655,7.56
15,13,71.42,75514.9,0.655,7.56
15,14,71.48,75514.9,0.655,7.56
15,15,71.69,75514.9,0.655,7.56
15,16,70.28,75514.9,0.655,7.56
15,17,69.46,75514.9,0.655,7.56
15,18,70.11,75514.9,0.655,7.56
15,19,69.1,75514.9,0.655,7.56
15,20,67.68,75514.9,0.655,7.56
15,21,68.79,75514.9,0.655,7.56
15,22,67.7,75514.9,0.655,7.56
15,23,67.53,75514.9,0.655,7.56
15,24,67.34,75514.9,0.655,7.56
15,25,66.87,75514.9,0.655,7.56
15,26,66.74,75514.9,0.655,7.56
15,27,65.77,75514.9,0.655,7.56
15,28,65.84,75514.9,0.655,7.56
15,29,65.06,75514.9,0.655,7.56
16,0,83.58,30834.5,0.558,1.28
16,1,83.09,30834.5,0.558,1.28
16,2,81.89,30834.5,0.558,1.28
16,3,82.47,30834.5,0.558,1.28
16,4,81.23,30834.5,0.558,1.28
16,5,81.47,30834.5,0.558,1.28
16,6,80.82,30834.5,0.558,1.28
16,7,81.12,30834.5,0.558,1.28
16,8,79.66,30834.5,0.558,1.28
16,9,79.17,30834.5,0.558,1.28
16,10,78.9,30834.5,0.558,1.28
16,11,78.33,30834.5,0.558,1.28
16,12,78.45,30834.5,0.558,1.28
16,13,76.81,30834.5,0.558,1.28
16,14,76.66,30834.5,0.558,1.28
16,15,76.22,30834.5,0.558,1.28
16,16,76.8,30834.5,0.558,1.28
16,17,76.75,30834.5,0.558,1.28
16,18,75.41,30834.5,0.558,1.28
16,19,74.95,30834.5,0.558,1.28
16,20,74.64,30834.5,0.558,1.28
16,21,74.76,30834.5,0.558,1.28
16,22,73.28,30834.5,0.558,1.28
16,23,73.43,30834.5,0.558,1.28
16,24,73.37,30834.5,0.558,1.28
16,25,72.7,30834.5,0.558,1.28
16,26,72.12,30834.5,0.558,1.28
16,27,72.09,30834.5,0.558,1.28
16,28,69.81,30834.5,0.558,1.28
16,29,71.07,30834.5,0.558,1.28
17,0,65.58,54076.7,0.976,1.85
17,1,64.65,54076.7,0.976,1.85
17,2,65.48,54076.7,0.976,1.85
17,3,65.57,54076.7,0.976,1.85
17,4,64.48,54076.7,0.976,1.85
17,5,64.68,54076.7,0.976,1.85
17,6,64.67,54076.7,0.976,1.85
17,7,64.18,54076.7,0.976,1.85
17,8,64.0,54076.7,0.976,1.85
17,9,63.21,54076.7,0.976,1.85
17,10,62.54,54076.7,0.976,1.85
17,11,61.36,54076.7,0.976,1.85
17,12,61.7,54076.7,0.976,1.85
17,13,61.06,54076.7,0.976,1.85
17,14,62.22,54076.7,0.976,1.85
17,15,60.71,54076.7,0.976,1.85
17,16,60.52,54076.7,0.976,1.85
17,17,60.39,54076.7,0.976,1.85
17,18,59.8,54076.7,0.976,1.85
17,19,60.28,54076.7,0.976,1.85
17,20,58.78,54076.7,0.976,1.85
17,21,58.85,54076.7,0.976,1.85
17,22,58.04,54076.7,0.976,1.85
17,23,57.41,54076.7,0.976,1.85
17,24,57.42,54076.7,0.976,1.85
17,25,57.37,54076.7,0.976,1.85
17,26,56.83,54076.7,0.976,1.85
17,27,56.36,54076.7,0.976,1.85
17,28,55.66,54076.7,0.976,1.85
17,29,55.98,54076.7,0.976,1.85
18,0,34.18,74929.3,0.958,4.17
18,1,35.13,74929.3,0.958,4.17
18,2,34.61,74929.3,0.958,4.17
18,3,33.66,74929.3,0.958,4.17
18,4,34.05,74929.3,0.958,4.17
18,5,33.65,74929.3,0.958,4.17
18,6,34.0,74929.3,0.958,4.17
18,7,34.33,74929.3,0.958,4.17
18,8,32.55,74929.3,0.958,4.17
18,9,33.36,74929.3,0.958,4.17
18,10,33.04,74929.3,0.958,4.17
18,11,33.28,74929.3,0.958,4.17
18,12,32.87,74929.3,0.958,4.17
18,13,32.2,74929.3,0.958,4.17
18,14,32.24,74929.3,0.958,4.17
18,15,31.82,74929.3,0.958,4.17
18,16,32.58,74929.3,0.958,4.17
18,17,31.87,74929.3,0.958,4.17
18,18,32.63,74929.3,0.958,4.17
18,19,31.47,74929.3,0.958,4.17
18,20,30.96,74929.3,0.958,4.17
18,21,30.38,74929.3,0.958,4.17
18,22,30.05,74929.3,0.958,4.17
18,23,29.98,74929.3,0.958,4.17
18,24,30.73,74929.3,0.958,4.17
18,25,30.67,74929.3,0.958,4.17
18,26,29.44,74929.3,0.958,4.17
18,27,30.5,74929.3,0.958,4.17
18,28,29.63,74929.3,0.958,4.17
18,29,29.76,74929.3,0.958,4.17
19,0,60.97,22036.8,0.691,7.54
19,1,60.3,22036.8,0.691,7.54
19,2,59.41,22036.8,0.691,7.54
19,3,58.79,22036.8,0.691,7.54
19,4,57.85,22036.8,0.691,7.54
19,5,58.25,22036.8,0.691,7.54
19,6,58.19,22036.8,0.691,7.54
19,7,57.5,22036.8,0.691,7.54
19,8,57.61,22036.8,0.691,7.54
19,9,57.41,22036.8,0.691,7.54
19,10,56.94,22036.8,0.691,7.54
19,11,56.42,22036.8,0.691,7.54
19,12,56.52,22036.8,0.691,7.54
19,13,56.34,22036.8,0.691,7.54
19,14,55.27,22036.8,0.691,7.54
19,15,56.21,22036.8,0.691,7.54
19,16,55.14,22036.8,0.691,7.54
19,17,54.89,22036.8,0.691,7.54
19,18,54.92,22036.8,0.691,7.54
19,19,54.37,22036.8,0.691,7.54
19,20,54.42,22036.8,0.691,7.54
19,21,53.78,22036.8,0.691,7.54
19,22,53.01,22036.8,0.691,7.54
19,23,53.19,22036.8,0.691,7.54
19,24,52.13,22036.8,0.691,7.54
19,25,52.44,22036.8,0.691,7.54
19,26,52.06,22036.8,0.691,7.54
19,27,51.66,22036.8,0.691,7.54
19,28,51.39,22036.8,0.691,7.54
19,29,50.2,22036.8,0.691,7.54
20,0,101.98,61845.2,1.166,3.21
20,1,101.77,61845.2,1.166,3.21
20,2,101.28,61845.2,1.166,3.21
20,3,100.16,61845.2,1.166,3.21
20,4,100.77,61845.2,1.166,3.21
20,5,99.18,61845.2,1.166,3.21
20,6,99.57,61845.2,1.166,3.21
20,7,98.77,61845.2,1.166,3.21
20,8,97.7,61845.2,1.166,3.21
20,9,98.38,61845.2,1.166,3.21
20,10,96.37,61845.2,1.166,3.21
20,11,96.9,61845.2,1.166,3.21
20,12,96.41,61845.2,1.166,3.21
20,13,95.05,61845.2,1.166,3.21
20,14,95.55,61845.2,1.166,3.21
20,15,94.2,61845.2,1.166,3.21
20,16,93.94,61845.2,1.166,3.21
20,17,93.4,61845.2,1.166,3.21
20,18,92.67,61845.2,1.166,3.21
20,19,92.61,61845.2,1.166,3.21
20,20,92.08,61845.2,1.166,3.21
20,21,90.28,61845.2,1.166,3.21
20,22,91.27,61845.2,1.166,3.21
20,23,89.26,61845.2,1.166,3.21
20,24,90.08,61845.2,1.166,3.21
20,25,89.6,61845.2,1.166,3.21
20,26,87.96,61845.2,1.166,3.21
20,27,87.77,61845.2,1.166,3.21
20,28,86.89,61845.2,1.166,3.21
20,29,86.81,61845.2,1.166,3.21
21,0,30.26,37840.9,0.606,4.55
21,1,30.65,37840.9,0.606,4.55
21,2,30.76,37840.9,0.606,4.55
21,3,30.64,37840.9,0.606,4.55
21,4,29.51,37840.9,0.606,4.55
21,5,29.53,37840.9,0.606,4.55
21,6,28.63,37840.9,0.606,4.55
21,7,28.91,37840.9,0.606,4.55
21,8,29.64,37840.9,0.606,4.55
21,9,29.81,37840.9,0.606,4.55
21,10,28.23,37840.9,0.606,4.55
21,11,28.39,37840.9,0.606,4.55
21,12,28.52,37840.9,0.606,4.55
21,13,28.51,37840.9,0.606,4.55
21,14,27.81,37840.9,0.606,4.55
21,15,28.27,37840.9,0.606,4.55
21,16,27.66,37840.9,0.606,4.55
21,17,27.74,37840.9,0.606,4.55
21,18,27.86,37840.9,0.606,4.55
21,19,27.43,37840.9,0.606,4.55
21,20,27.05,37840.9,0.606,4.55
21,21,27.06,37840.9,0.606,4.55
21,22,26.91,37840.9,0.606,4.55
21,23,26.61,37840.9,0.606,4.55
21,24,26.51,37840.9,0.606,4.55
21,25,27.28,37840.9,0.606,4.55
21,26,26.61,37840.9,0.606,4.55
21,27,26.02,37840.9,0.606,4.55
21,28,26.36,37840.9,0.606,4.55
21,29,25.69,37840.9,0.606,4.55
22,0,60.6,75463.8,0.803,1.29
22,1,59.89,75463.8,0.803,1.29
22,2,59.34,75463.8,0.803,1.29
